"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"470","1638","Elkhorn Area",2020-04-07,2e+05,"RR - 2020",2809,2052,"Passed","BE IT RESOLVED by the School Board of the Elkhorn Area School District, Walworth County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $200,000 beginning with the 2020-2021 school year, for recurring purposes consisting of ongoing maintenance of all District facilities and technology updates.",1
"471","1638","Elkhorn Area",2023-04-04,3e+07,"NR - 2023",1876,3507,"Failed","$6,000,000 per year
for five years beginning with the 2023-2024 school year and ending with the 2027-2028 school
year, for non-recurring purposes consisting of expenses related to maintaining current
instructional programs and class sizes, staffing, ongoing safety and facility maintenance.",1
"472","1659","Ellsworth Community",2008-11-04,4500000,"NR - 2009",2243,3265,"Failed","Maintain current programs",1
"473","1659","Ellsworth Community",2008-11-04,2e+06,"Issue Debt",2581,2970,"Failed","Paying for the cost of improvements, replacements and upgrades at existing school facilities.",1
"474","1659","Ellsworth Community",2014-02-18,2400000,"NR - 2014",1038,1243,"Failed","Exceed revenue cap for non recurring purposes consisting of ongoing educational programming and facilities.",1
"475","1659","Ellsworth Community",2014-02-18,29450000,"Issue Debt",901,1379,"Failed","Construction of new elementary school, renovation of district buildings and grounds- security upgrades and energy efficiency projects, acquisition of land for transportation and maintenance building, acquisition of furnishings, fixtures, and equipment.",1
"476","1659","Ellsworth Community",2015-04-07,3900000,"NR - 2015",1816,1000,"Passed","Exceed revenue cap for non-recurring purposes consisting of maintaining educational programming, technology, and facilities.",1
"477","1659","Ellsworth Community",2016-04-05,31900000,"Issue Debt",2191,1878,"Passed","Constructing and equipping a new four year old kindergarten through grade 5 elementary school with administrative offices.",1
"478","1659","Ellsworth Community",1997-11-04,7990000,"Issue Debt",1309,1147,"Passed","add to high school, parking lots at high school",1
"479","1659","Ellsworth Community",1994-10-01,6400000,"Issue Debt",1223,1106,"Passed","new ms, elev at hs",1
"480","1659","Ellsworth Community",2001-04-03,2e+06,"NR",1628,1397,"Passed","maintain current programs",1
"481","1659","Ellsworth Community",2018-04-03,4e+06,"NR - 2018",1263,761,"Passed","Exceed revenue cap for non-recurring purposes consisting of maintaining educational programming, technology, and facilities.",1
"482","1659","Ellsworth Community",2022-04-05,5200000,"NR - 2022",1149,659,"Passed","Exceed revenue limit for non-recurring purposes consisting of maintaining educational programming, technology, and facilities.",1
"483","0714","Elmbrook",2007-04-03,99300000,"Issue Debt",6435,11415,"Failed","Seek Approval to Borrow $99,300,000 for remodeling and adding onto Brookfield East and Brookfield Central High Schools",1
"484","0714","Elmbrook",2007-04-03,9500000,"Issue Debt",6980,11058,"Failed","To borrow $9,500,000 for the purpose of adding a field house to both Brookfield Central High School and Brookfield East High School",1
"485","0714","Elmbrook",2008-04-01,62190000,"Issue Debt",7557,6923,"Passed","Remodel and add on to the  district's two high schools",1
"486","0714","Elmbrook",1995-02-21,9900000,"Issue Debt",5471,6068,"Failed","add to elem, new elem,",1
"487","0714","Elmbrook",1996-03-19,8900000,"Issue Debt",8903,4245,"Passed","elem add & renov",1
"488","0714","Elmbrook",2000-02-15,17900000,"Issue Debt",6274,4197,"Passed","construct new elementary school and site; demolish old school; acquire equipment",1
"489","1666","Elmwood",2007-04-03,9e+05,"RR - 2007",405,279,"Passed","operating expenses to properly operate its educational facilities",1
"490","1666","Elmwood",1995-03-14,3200000,"Issue Debt",444,669,"Failed","addition incl kitch, gym, shop, band.",1
"491","1666","Elmwood",1997-09-09,890000,"Issue Debt",431,297,"Passed","new gymnasium",1
"492","1666","Elmwood",1997-09-09,1970000,"Issue Debt",513,220,"Passed","add to and remodel high school",1
"493","1694","Evansville Community",2014-11-04,2315097,"NR - 2014",2347,1871,"Passed","To fund costs of enhancing building safety/security and maintaining district facilities",1
"494","1694","Evansville Community",1999-03-16,18928000,"Issue Debt",915,1314,"Failed","new intermediate school; remodel old facilities",1
"495","1694","Evansville Community",2000-05-23,25515000,"Issue Debt",1307,1117,"Passed","construct new HS; construct additions/remodel all existing bldngs; site improvements, acquire furnishings/equipment/fixtures",1
"496","1694","Evansville Community",2000-05-23,775000,"RR - 2002",1208,1180,"Passed","operate/maintain proposed new HS and other building renovations",1
"497","1694","Evansville Community",2000-05-23,2680000,"Issue Debt",911,1479,"Failed","construct swimming pool at proposed new HS",1
"498","1694","Evansville Community",2000-05-23,145000,"RR - 2002",900,1483,"Failed","operate proposed swimming pool facility",1
"499","1729","Fall Creek",2012-04-03,5100000,"Issue Debt",728,307,"Passed","paying the cost of making improvements to all District schools, with an emphasis on the elementary school, including: constructing and equipping an additon to providce for a new student drop off, improved traffic flow and a secure entrance; repairing and replacing the HVAC, roofs and windows; upgrading lighting, electrical, water, technology infrastructure, safety and security, including asbestos abatement and ADA upgrades; and acquiring fixtures, furnishings and equipment",1
"500","1729","Fall Creek",2002-11-05,7970000,"Issue Debt",677,893,"Failed","building and remodeling",1
"501","1729","Fall Creek",2003-11-04,6285000,"Issue Debt",497,551,"Failed","adding to, remodeling, improving existing school facilities, acquire/replace equipment",1
"502","1729","Fall Creek",2018-04-03,12400000,"Issue Debt",589,377,"Passed","High School improvements consisting of:  building infrastructure, safety and security, including the addition of a secure entrance; classroom and music room modernization; renovation and expansion of the commons; construction of larger weight and fitness center; and acquisition of related furnishings, fixtures and equipment",1
"503","1736","Fall River",2012-04-03,2455000,"Issue Debt",533,300,"Passed","paying the cost of making improvements to the District school building, including HVAC replacement, maintenance projects, and technology infrastructure and equipment upgrades; and acquiring and making improvements to land",1
"504","1736","Fall River",2012-04-03,1400000,"Issue Debt",390,436,"Failed","paying the cost of developing and constructing a multi-purpose athletic complex",1
"505","1736","Fall River",2012-11-06,1350000,"Issue Debt",691,807,"Failed","Developing and constructing a multi-purpose athletic complex.",1
"506","1736","Fall River",1998-09-08,4500000,"Issue Debt",286,146,"Passed","raze old el. school; add to & remodel facilities",1
"507","1736","Fall River",2018-04-03,7800000,"Issue Debt",523,467,"Passed","The district will be looking to make the following improvements and updates in the following areas: capital maintenance and building infrastructure; learning space updates; communication and technology system upgrades; safety and security improvements; athletic facility, field and site improvements; and acquisition of furnishings fixtures and equipment. (Safety and Security, Learning Spaces/Educational needs (GEDO II, STEM), Facility Needs and Improvements and Athletics)",1
"508","1813","Fennimore Community",2014-04-01,5890000,"Issue Debt",1025,202,"Passed","Paying the cost of making improvements to the Middle/High School building and grounds, including undertaking safety and security upgrades, remodeling for additional space, adding classrooms and an office, constructing additions for a gymnasium and commons area/cafeteria and  remodeling to move the library; and acquiring furnishings, fixtures and equipment",1
"509","1813","Fennimore Community",2015-06-16,6e+05,"RR - 2015",337,93,"Passed","Continuing and enhancing the educational programs of the District and maintaining the current level of District operations",1
"510","1813","Fennimore Community",1997-09-09,2898000,"Issue Debt",460,529,"Failed","school addition, including gym and locker rooms",1
"511","1813","Fennimore Community",1997-09-09,2521000,"Issue Debt",736,258,"Passed","add to and remodel high school & ADA improvements",1
"512","1813","Fennimore Community",1996-11-05,3800000,"Issue Debt",NA,NA,"Failed","hs add incl elevator, gym, locker rm, weight rm, art, science, nursing,  and storage",1
"513","1813","Fennimore Community",1997-04-01,5117000,"Issue Debt",597,652,"Failed","hs add incl elevator, gym, locker rm, weight rm, art, science, nursing,  and storage",1
"514","5757","Flambeau",1996-05-28,5e+06,"Issue Debt",519,560,"Failed","new 7-12 school,new k-6",1
"515","5757","Flambeau",1997-05-20,7700000,"Issue Debt",858,716,"Passed","new pk to 12 facility",1
"516","1855","Florence",2016-11-08,13200000,"Issue Debt",1389,1200,"Passed","Capital Improvements - HS Building Renovation",1
"517","1855","Florence",2016-11-08,1300000,"Issue Debt",1501,1062,"Passed","Capital Improvement - STEAM renovation",1
"518","1855","Florence",1996-05-07,7e+06,"Issue Debt",747,876,"Failed","new k-6, dist wide remod",1
"519","1855","Florence",1996-09-10,5980000,"Issue Debt",NA,NA,"Failed","new p-5, remod, addition",1
"520","1855","Florence",1997-10-28,4975000,"Issue Debt",762,672,"Passed","new elem school;  add to & remodel other buildings",1
"521","1862","Fond Du Lac",2005-04-05,8765000,"Issue Debt",3907,3940,"Failed","projects listed in the District's five-year Capital Improvement plan, including improvements, repairs, replacements, renovations and remodeling at various school facilities and acquisition and installation of computers adn other equipment",1
"522","1862","Fond Du Lac",2006-04-04,6865000,"Issue Debt",5260,4175,"Passed","Paying the cost of various capital projects to maintain and protect school facilities",1
"523","1862","Fond Du Lac",2006-04-04,995000,"Issue Debt",5327,4046,"Passed","technology including replacing outdated classroom computers and systems",1
"524","1862","Fond Du Lac",2006-04-04,905000,"Issue Debt",5176,4200,"Passed","Paying the cost of maintaining school grounds",1
"525","1862","Fond Du Lac",1999-03-16,4.9e+07,"Issue Debt",5727,5443,"Passed","new h.s; remodel schools; upgrade wiring, technology",1
"526","1862","Fond Du Lac",2019-04-02,91500000,"Issue Debt",6694,4234,"Passed","Issue Debt for Capital Maintenance and Improvement Projects.",1
"527","1862","Fond Du Lac",2019-04-02,7e+06,"Issue Debt",6411,4449,"Passed","Issue Debt for Capital Maintenance and Improvement Projects.",1
"528","1870","Fontana J8",1995-10-03,4300000,"Issue Debt",227,61,"Passed","renov & remod & expansion",1
"529","1883","Fort Atkinson",2006-04-04,3470000,"NR - 2006",1768,1746,"Passed","maintaining educational programs in the school district",1
"530","1883","Fort Atkinson",2011-04-05,2082000,"NR - 2011",2648,2644,"Passed","maintaining educational programs in the school district",1
"531","1883","Fort Atkinson",1995-04-04,870000,"RR",1297,3339,"Failed","Q4: exceed rev cap for operations of new school",1
"532","1883","Fort Atkinson",1995-04-04,735000,"Issue Debt",1408,3297,"Failed","Q3: new athletic fields",1
"533","1883","Fort Atkinson",1995-04-04,23100000,"Issue Debt",1486,3233,"Failed","Q2: new hs, conv hs to ms, conv ms to elem",1
"534","1883","Fort Atkinson",1995-04-04,9e+05,"Issue Debt",1760,2958,"Failed","Q1: land acquisition for new hs",1
"535","1883","Fort Atkinson",1996-05-30,2530000,"Issue Debt",2219,2020,"Passed","Q2: pool, ath field, equip aud",1
"536","1883","Fort Atkinson",1996-05-30,24540000,"Issue Debt",2354,1903,"Passed","Q1: new hs, con hs to ms, conv ms to elem",1
"537","1883","Fort Atkinson",2022-11-08,2.2e+07,"Issue Debt",4154,3696,"Passed","$22M GO Bonds for secure entries, maintenance projects, and traffic flow improvements.",1
"538","1890","Fox Point J2",2010-04-06,3255000,"Issue Debt",536,303,"Passed","paying the cost of energy efficiency and facility improvements to school district buildings; technology upgrades and refunding  a state trust fund loan issued to pay the District's unfunded prior service liability owed to the Wisconsin Retirement System",1
"539","1890","Fox Point J2",2015-04-07,3800000,"NR - 2015",1146,950,"Passed","maintaining instructional programs, maintaining class size and meeting operating expenses",1
"540","1890","Fox Point J2",1997-05-20,3775000,"Issue Debt",891,268,"Passed","middle school addition and remodeling",1
"541","1890","Fox Point J2",2022-04-05,58500000,"Issue Debt",1386,1153,"Passed","Build new Bayside Middle School and Renovate Stormonth Elementary School",1
"542","1900","Franklin Public",2007-04-03,76990000,"Issue Debt",2495,3811,"Failed","purchase land, construct new high school, remodel/renovate existing high school for use as middle school, equipment, furnishings and equipment",1
"543","1900","Franklin Public",2007-04-03,1180000,"RR - 2007",2365,3851,"Failed","utility, maintenance, and custodial expenses related to the new high school facility and acquiring land",1
"544","1900","Franklin Public",2012-11-06,20400000,"Issue Debt",7536,6678,"Passed","Add two-story addition to high school which will include instructional space, and renovate many areas including science rooms, adding parking",1
"545","1900","Franklin Public",2012-11-06,12600000,"Issue Debt",7202,6907,"Passed","Add auditorium and music instruction space to high school, renovate art rooms, add parking, relocate athletic practice fields",1
"546","1900","Franklin Public",2012-11-06,15800000,"Issue Debt",6811,7251,"Failed","Add gym to middle school, relocate and renovate music instruction spaces, expand cafeteria, add parking, site improvements",1
"547","1900","Franklin Public",2016-11-08,43300000,"Issue Debt",7804,7196,"Passed","The debt would fund the construction of a new middle school on district property, tearing down the current middle school, site improvements, and the acquisition of equipment, furnishings, and fixtures.",1
"548","1900","Franklin Public",1994-04-05,14200000,"Issue Debt",1700,2200,"Failed","new MS, add & add HS",1
"549","1900","Franklin Public",1994-12-06,8995000,"Issue Debt",2806,1294,"Passed","add 19 elem clsrms, remod & add 16 clsrms to hs",1
"550","1900","Franklin Public",1997-06-03,18990000,"Issue Debt",1816,1012,"Passed","new elementary, additions & remodel elmentary & high school",1
"551","1939","Frederic",2018-04-03,12730000,"Issue Debt",390,578,"Failed","Facility improvement program consisting of:  all learning spaces and building mechanicals; safety, security and capital maintenance improvements; facility remodeling, additions, and renovations; site improvements; and acquisition of furnishing, fixtures and equipment",1
"552","1939","Frederic",2019-04-02,7e+06,"Issue Debt",559,399,"Passed","Improve and upgrade facilities to include, student learning spaces, safety and security, aging building infrastructure, maintenance building, mechanical systems, kitchen and cafeteria spaces, and related equipment.",1
"553","1939","Frederic",1997-11-04,8055000,"Issue Debt",552,417,"Passed","raze old high school; add to & remodel other buildings",1
"554","1953","Freedom Area",2017-11-07,66700000,"Issue Debt",1055,1811,"Failed","New High School and Renovations of current HS/MS and Elementary Schools.",1
"555","1953","Freedom Area",2017-11-07,3700000,"NR - 2020",988,1870,"Failed","Non-Recurring Debt Referendum for New High School",1
"556","1953","Freedom Area",2019-04-02,55680000,"Issue Debt",1400,2163,"Failed","Build New High School",1
"557","1953","Freedom Area",2019-04-02,625000,"RR - 2021",1333,2232,"Failed","Operating Referendum for New High School",1
"558","1953","Freedom Area",2000-09-12,12800000,"Issue Debt",681,957,"Failed","capital improvements",1
"559","1953","Freedom Area",2001-04-03,13200000,"Issue Debt",778,1461,"Failed","construct and equip new school facilities; upgrade, remodel, improve existing facilities; acquire/replace equipment",1
"560","1953","Freedom Area",2001-09-11,5500000,"Issue Debt",756,548,"Passed","adding to, remodeling, improving existing school facilities, acquire/replace equipment",1
"561","2009","Gale-Ettrick-Trempealeau",2005-04-05,22800000,"Issue Debt",722,2012,"Failed","school building program, consisting of constructing a new high school with an auditorium; remodeling, improving, and upgrading the Trempealeau complex; and acquiring furniture, fixtures and equipment",1
"562","2009","Gale-Ettrick-Trempealeau",2005-04-05,2500000,"NR - 2005",797,1914,"Failed","cost of maintaining programming and other operation and maintenance expenses of the district",1
"563","2009","Gale-Ettrick-Trempealeau",2006-04-04,4e+06,"NR - 2006",1563,1000,"Passed","Paying the cost of maintaining programming and other operation and maintenance expenses of the District.",1
"564","2009","Gale-Ettrick-Trempealeau",2007-11-06,14950000,"Issue Debt",1128,959,"Passed","Finance the construction and equipping of a new  school building and improvements to other school buildings.",1
"565","2009","Gale-Ettrick-Trempealeau",2010-09-14,4e+06,"RR - 2011",1375,1056,"Passed","paying the cost of maintaining programming and other operation and maintenance expenses of the District",1
"566","2009","Gale-Ettrick-Trempealeau",2019-04-02,9800000,"Issue Debt",1316,1207,"Passed","For the purpose of paying the cost of constructing and equipping a new performing arts center.",1
"567","2044","Geneva J4",2005-02-15,150000,"RR - 2005",67,39,"Passed","maintain current level of educational programming",1
"568","2044","Geneva J4",2013-11-05,5550000,"Issue Debt",70,208,"Failed","Building addition and renovation",1
"569","2044","Geneva J4",2015-05-19,3985000,"Issue Debt",65,136,"Failed","Remodel existing entrance and cafeteria. Add gymnasium and 3 classrooms.",1
"570","2044","Geneva J4",2016-11-08,4600000,"Issue Debt",369,215,"Passed","This $4.6 million referendum will provide additional space for four-year old Kindergarten, science, family and consumer science, and art, as well as a gymnasium.  In addition, secure entrances will be built and air conditioning will be installed throughout the building.",1
"571","2044","Geneva J4",2000-04-04,2200000,"Issue Debt",212,67,"Passed","add to/renovate/remodel/improve existing facilities, acquire furnishings, fixtures/equipment",1
"572","2051","Genoa City J2",2007-04-03,5085000,"Issue Debt",208,243,"Failed","Elementary School Renovation and additional classroom space at the middle school",1
"573","2051","Genoa City J2",2007-11-06,5175000,"Issue Debt",250,227,"Passed","Renovation of Brookwood Elementary School and construction of a classroom addition to Brookwood Middle School",1
"574","2051","Genoa City J2",2017-02-21,6100000,"Issue Debt",255,140,"Passed","Issue Bonds for Razing and Renovating Brookwood Elementary School",1
"575","2051","Genoa City J2",1998-11-03,260000,"Issue Debt",481,308,"Passed","shingled pitched roof for new m.s.",1
"576","2051","Genoa City J2",1998-11-03,7500000,"Issue Debt",514,290,"Passed","middle school and remodel elem. school",1
"577","2058","Germantown",2005-04-05,4400000,"Issue Debt",2900,3646,"Failed","hew high school pool and locker rooms",1
"578","2058","Germantown",2008-04-01,16500000,"Issue Debt",2733,3362,"Failed","New Elementary School; furnishings, fixtures and equipment",1
"579","2058","Germantown",2008-11-04,22500000,"Issue Debt",6264,8669,"Failed","New Elementary School Construction, Furnishing for it; technology & safety district wide.",1
"580","2058","Germantown",2016-11-08,8.4e+07,"Issue Debt",8321,7570,"Passed","District-wide school building, capital improvements, a field house, a performing art center, and a swimming pool.",1
"581","2058","Germantown",1994-09-13,760000,"RR",1670,2924,"Failed","operating cost for new 5-8 & h.s. addition",1
"582","2058","Germantown",1994-09-13,540000,"RR",1724,2836,"Failed","operating cost for new 5-8",1
"583","2058","Germantown",1994-09-13,18750000,"Issue Debt",1825,2817,"Failed","new 5-8 & h.s. addition",1
"584","2058","Germantown",1994-09-13,12135000,"Issue Debt",1916,2743,"Failed","new 5-8",1
"585","2058","Germantown",1995-06-06,9900000,"Issue Debt",1219,1287,"Failed","new 5-6",1
"586","2058","Germantown",1995-10-10,9900000,"Issue Debt",NA,NA,"Failed","new ms",1
"587","2058","Germantown",2004-04-06,15440000,"Issue Debt",1926,3472,"Failed","maintenance, security, repairs and maintenance projects at various sites, addition to and remodeling/renovations at Rockfield ES; construct pool/activity center addition and remodel/renovate at HS; furnishings, fixtures, equipment",1
"588","2114","Gibraltar Area",2007-04-03,4e+06,"Issue Debt",1347,649,"Passed","Paying cost of repairing, renovating, remodeling, and improving the school building and grounds; installing, replacing, and/or upgrading electrical, hot water, HVAC, fire alarms, and security systems; constructing and equipping an addition to the music rooms; and redesigning the school driveways.",1
"589","2114","Gibraltar Area",2018-11-06,4500000,"Issue Debt",3043,1276,"Passed","Cost of school improvements & remodel/renovate LMC & classrooms as well as upgrades for security & other capital improvemnets",1
"590","2114","Gibraltar Area",1994-09-13,453000,"Issue Debt",688,396,"Passed","6 classroom addition & ADA improvements",1
"591","2114","Gibraltar Area",2000-05-30,5500000,"Issue Debt",709,1123,"Failed","cost of equipping/constructing gymnasium; remodel/renovate/improve school locker rooms;improve athletic fields and playground",1
"592","2114","Gibraltar Area",2000-09-12,1425000,"NR",956,806,"Passed","maintain current level of eductional programming",1
"593","2114","Gibraltar Area",2002-09-10,2195000,"NR",931,1122,"Failed","maintain current level of educational programming for students",1
"594","2114","Gibraltar Area",2002-09-10,4e+05,"NR",1045,1002,"Passed","renovating restrooms and HS biology lab",1
"595","2114","Gibraltar Area",2002-11-05,2195000,"NR",1947,1448,"Passed","maintain current level of educational programming for students",1
"596","2114","Gibraltar Area",1996-03-19,3e+05,"Issue Debt",1158,539,"Passed","replace boiler",1
"597","2114","Gibraltar Area",2023-04-04,29800000,"Issue Debt",2755,837,"Passed","School facility improvement project at the school building and site consisting of: 
renovations, safety and security, building infrastructure and building systems improvements; construction of additions for classrooms, offices and a replacement gymnasium; removal and replacement of older portions of the school building; site improvements; and acquisition of furnishings, fixtures and equipment.",1
"598","2128","Gillett",1995-04-04,4875000,"Issue Debt",619,488,"Passed","add of clsrms, aud, lib, & elev",1
"599","2135","Gilman",1998-04-07,5500000,"Issue Debt",556,417,"Passed","add to and remodel school; furnishings & equipment",1
"600","2142","Gilmanton",2000-11-07,4950000,"Issue Debt",239,389,"Failed","construct/demolish/renovations to create PK-12 facility and acquire equipment/furnishings/fixtures",1
"601","2184","Glendale-River Hills",2008-04-01,3750000,"Issue Debt",2687,1139,"Passed","various repair, maintenance, replacement and improvement projects at all district buildings and sites",1
"602","2184","Glendale-River Hills",2011-04-05,2400000,"NR - 2011",2902,2239,"Passed","To exceed revenue limit in the amount of $600,000 each year for four years for the purpose of maintaining current programs.",1
"603","2184","Glendale-River Hills",2014-11-04,4900000,"NR - 2015",3979,2625,"Passed","To exceed revenue limit in the amount of $980,000 each year for five years for the purpose of maintaining current programs.",1
"604","2198","Glenwood City",2011-04-05,6e+06,"Issue Debt",544,583,"Failed","cost of improvements to school district buildings, facilities and grounds including heating, ventilating, plumbing and electrical improvements, handicapped access improvements, safety improvements, energy efficiency updates, building remodeling and additions related to program improvements and equipment acquisition",1
"605","2198","Glenwood City",2015-04-07,4740000,"Issue Debt",790,204,"Passed","Issue Debt:  Purpose of paying the cost of improvements to the school district's buildings and grounds including imporved air quality and energy efficient heating and ventilation upgrades and roof upgrades; safety and security imporovements including relocation of elementary and high school offices; school traffic flow, parking; fire alarm replacement; exterior building lighting improvements; technology upgrades",1
"606","2198","Glenwood City",2015-04-07,4500000,"Issue Debt",588,305,"Passed","Issue Debt:  For the purpose of paying the cost of improved air quality and energy efficiency upgrades to the heating and ventilating system at the middle/high school building.",1
"607","2198","Glenwood City",1996-10-29,1975000,"Issue Debt",472,260,"Passed","Remodeling and Renovation",1
"608","2198","Glenwood City",2000-05-18,1970000,"Issue Debt",353,216,"Passed","building improvements, maintenance, repair, remodeling, equip acquisitions",1
"609","2198","Glenwood City",2000-05-18,1060000,"Issue Debt",271,299,"Failed","construct/equip elementary classroom addition",1
"610","2217","Grafton",2016-04-05,47700000,"Issue Debt",3265,4058,"Failed","Issue GO Bonds not to exceed $47,700,000 for the purpose of paying the costs of additions, remodeling, renovations and upgrades to all District buildings including constructing a new middle school facility and new technical education center adjacent to the high school, converting the existing middle school to an elementary school facility, upgrades and additions to the Woodview and Kennedy Elementary Schools and Grafton High School and equipment acquisition related to the project.",1
"611","2217","Grafton",2016-04-05,1800000,"Issue Debt",3502,3765,"Failed","Issue bonds not to exceed $1,800,000 for the purpose of paying the costs of improvements and repairs to outdoor physical education, athletic and community recreation areas and equipment acquisition related to the project.",1
"612","2217","Grafton",2017-04-04,39930000,"Issue Debt",2374,1819,"Passed","Issue General Obligation Bonds not to exceed $39,930,000 for the purpose of paying for improvements to all District buildings and grounds including additions and remodeling at the high school; remodeling and additions to the Woodview and Kennedy Elementary Schools; razing and removing the Grafton Elementary School; constructing a new District maintenance building; renovations to the District offices; District-wide site work and infrastructure upgrades; and equipment acquisition related to said projects.",1
"613","2217","Grafton",2000-05-09,16400000,"Issue Debt",984,1243,"Failed","maintain, expand, renovate, improve facilities/sites; acqure computer tech/telecommunucations; acquire furnishings, supplies and equip.",1
"614","2217","Grafton",2000-11-07,16400000,"Issue Debt",4765,2781,"Passed","maintain, expand, renovate, improve facilities/sites, acquire technology/telecommunications, furnishings, fixtures, equipment.",1
"615","2226","Granton Area",2017-10-10,2e+06,"Issue Debt",254,105,"Passed","The Granton Area School District is asking voters to approve renovations to the pool and locker room areas.",1
"616","2226","Granton Area",1997-04-01,1350000,"Issue Debt",598,263,"Passed","additions to schools & field house remodeling",1
"617","2233","Grantsburg",2021-04-06,17900000,"Issue Debt",655,726,"Failed","Close Nelson, Remodel Elem, Add few classrooms and gym to MS, HS office/entrance addition",1
"618","2233","Grantsburg",2021-04-06,4235000,"Issue Debt",506,868,"Failed","Multi Purpose Gymnasium at High School",1
"619","2233","Grantsburg",2022-04-05,19700000,"Issue Debt",703,558,"Passed","Renovate Elementary to close Nelson, Renovate MS & HS",1
"620","2233","Grantsburg",1994-12-10,6700000,"Issue Debt",598,263,"Passed","new 88,560 sq ft M.S.",1
"621","2233","Grantsburg",1997-04-01,1735000,"Issue Debt",451,413,"Passed","partial razing & remodeling of jhs",1
"622","2233","Grantsburg",1997-04-01,1735000,"Issue Debt",574,299,"Passed","remodel elementary and site improvements",1
"623","2233","Grantsburg",1999-10-05,858000,"Issue Debt",525,233,"Passed","maintenance and repair projects at H.S./Nelson Elem. School",1
"624","2233","Grantsburg",1999-10-05,1900000,"Issue Debt",471,284,"Passed","construct/equip addition to H.S.; remodel existing classrooms",1
"625","2233","Grantsburg",1999-10-05,615000,"Issue Debt",394,356,"Passed","development of athletic fields and repair/improve athletic facilities/auditorium",1
"626","2289","Green Bay Area",2007-02-20,6.9e+07,"Issue Debt",8217,15946,"Failed","To construct/equip new high school, expand /renovate school facilities, acquire school sites",1
"627","2289","Green Bay Area",2007-02-20,25920000,"NR - 2009",8038,15840,"Failed","Operating costs of new high school",1
"628","2289","Green Bay Area",2010-04-06,1.1e+07,"Issue Debt",12792,5614,"Passed","maintain,renovate,repair and upgrade school facilities",1
"629","2289","Green Bay Area",2010-04-06,5700000,"Issue Debt",11786,6447,"Passed","replacing computers, updating and expanding wireless access, and improving basic classroom technology at various schools in the District",1
"630","2289","Green Bay Area",2014-04-01,2e+07,"Issue Debt",9790,4252,"Passed","replacement of heating and ventilation systems and windows, renovation of buildings",1
"631","2289","Green Bay Area",2017-04-04,1.65e+08,"NR - 2017",10456,6207,"Passed","Question #1: Authorization to exceed the revenue limit on a non-recurring basis of 10 years by $16,500,000 to allow the District to approach the state average consisting of: maintaining educational programming and class sizes; and retaining staff",1
"632","2289","Green Bay Area",2017-04-04,68250000,"Issue Debt",11625,5027,"Passed","Question #2: Authorization to issue general obligation bonds in an amount not to exceed $68,250,000 for the public purpose of paying the cost of a district-wide school building and facilities improvement plan consisting of: reconstruction of Baird Elementary School; additions, renovations and improvements to increase capacity, to provide safe and secure entrances and offices at multiple elementary schools, and to improve instructional, support and community service space; renovations and improvements for fine arts facilities; and acquisition of related furnishings, fixtures and equipment.",1
"633","2289","Green Bay Area",2022-11-08,92605000,"Issue Debt",33371,15315,"Passed","Question:  Shall the Green Bay Area Public School District, Brown County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $92,605,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  district-wide safety, security, building infrastructure and capital maintenance improvements; renovations and facility updates to secondary schools; construction of an addition at certain district buildings; district-wide athletic facility and site improvements; and acquisition of furnishings, fixtures and equipment?",1
"634","2289","Green Bay Area",2000-02-15,55805000,"Issue Debt",14889,4500,"Passed","expand/remodel/improve/equip existing schools;acquire/clear/improve sites",1
"635","2289","Green Bay Area",1994-11-08,2500000,"Issue Debt",23996,10375,"Passed","2.4mil at East hs inc gym",1
"636","2289","Green Bay Area",1996-03-19,4500000,"Issue Debt",13748,5536,"Passed","major remod of 16 of 18 elem schls & all secdry schls",1
"637","2289","Green Bay Area",1996-11-05,26405000,"Issue Debt",27733,15311,"Passed","buy land, remodel & renovate schools",1
"638","2289","Green Bay Area",1997-04-01,14950000,"Issue Debt",8549,3869,"Passed","k-8 facility; remodel elementary and secondary schools",1
"639","2310","Green Lake",2010-09-14,2050000,"Issue Debt",488,570,"Failed","General Obligation Bonds for the cost of Roof and HVAC Replacements and Other Maintenance Projects",1
"640","2310","Green Lake",2014-08-12,6e+05,"NR - 2014",443,294,"Passed","For non-recurring purposes consisting of operational costs to maintain instructional programs, staffing and technology.",1
"641","2310","Green Lake",2020-04-07,4385000,"NR - 2020",695,351,"Passed","BE IT RESOLVED by the School Board of the School District of Green Lake, Green Lake County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $810,00 for the 2020-2021 school year, by $975,000 for the 2021-2022 school year, by $1,200,000 for the 2022-2023 school year and by $1,400,000 for the 2023-2024 school year, for non-recurring purposes consisting of operational costs to maintain instruction programs, staffing and technology and capital project costs associated with facilities maintenance.",1
"642","2310","Green Lake",2001-10-02,2e+06,"Issue Debt",546,270,"Passed","remodel, renovate, improve school facilities; construct additions; equipment; acquire parcel of property as site",1
