"District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0714","Elmbrook",2007-04-03,"99300000","Issue Debt",6435,11415,"Failed","Seek Approval to Borrow $99,300,000 for remodeling and adding onto Brookfield East and Brookfield Central High Schools",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0714","Elmbrook",2007-04-03,"9500000","Issue Debt",6980,11058,"Failed","To borrow $9,500,000 for the purpose of adding a field house to both Brookfield Central High School and Brookfield East High School",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0714","Elmbrook",2008-04-01,"62190000","Issue Debt",7557,6923,"Passed","Remodel and add on to the  district's two high schools",1,NA
"0714","Elmbrook",1995-02-21,"9900000","Issue Debt",5471,6068,"Failed","add to elem, new elem,",1,NA
"0714","Elmbrook",1996-03-19,"8900000","Issue Debt",8903,4245,"Passed","elem add & renov",1,NA
"0714","Elmbrook",2000-02-15,"17900000","Issue Debt",6274,4197,"Passed","construct new elementary school and site; demolish old school; acquire equipment",1,NA
"1666","Elmwood",2007-04-03,"9e+05","RR - 2007",405,279,"Passed","operating expenses to properly operate its educational facilities",1,1
"1666","Elmwood",1994-05-17,"3200000","Issue Debt",385,409,"Failed","add. to K-12",NA,NA
"1666","Elmwood",1995-03-14,"3200000","Issue Debt",444,669,"Failed","addition incl kitch, gym, shop, band.",1,NA
"1666","Elmwood",1997-09-09,"890000","Issue Debt",431,297,"Passed","new gymnasium",1,NA
"1666","Elmwood",1997-09-09,"1970000","Issue Debt",513,220,"Passed","add to and remodel high school",1,NA
"1694","Evansville Community",2014-11-04,"2251200","NR - 2014",2323,1886,"Passed","To fund costs of curriculum programming and technology initiatives.",NA,NA
"1694","Evansville Community",2014-11-04,"2315097","NR - 2014",2347,1871,"Passed","To fund costs of enhancing building safety/security and maintaining district facilities",1,NA
"1694","Evansville Community",1992-05-01,"5290000","Issue Debt",594,510,"Passed",NA,NA,NA
"1694","Evansville Community",1999-03-16,"18928000","Issue Debt",915,1314,"Failed","new intermediate school; remodel old facilities",1,NA
"1694","Evansville Community",2000-05-23,"25515000","Issue Debt",1307,1117,"Passed","construct new HS; construct additions/remodel all existing bldngs; site improvements, acquire furnishings/equipment/fixtures",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1694","Evansville Community",2000-05-23,"775000","RR - 2002",1208,1180,"Passed","operate/maintain proposed new HS and other building renovations",1,NA
"1694","Evansville Community",2000-05-23,"2680000","Issue Debt",911,1479,"Failed","construct swimming pool at proposed new HS",1,NA
"1694","Evansville Community",2000-05-23,"145000","RR - 2002",900,1483,"Failed","operate proposed swimming pool facility",1,NA
"1694","Evansville Community",2018-11-06,"3.4e+07","Issue Debt",2984,1803,"Passed",NA,NA,NA
"1694","Evansville Community",2018-11-06,"6e+06","NR - 2019",2942,1827,"Passed",NA,NA,NA
"1729","Fall Creek",2012-04-03,"5100000","Issue Debt",728,307,"Passed","paying the cost of making improvements to all District schools, with an emphasis on the elementary school, including: constructing and equipping an additon to providce for a new student drop off, improved traffic flow and a secure entrance; repairing and replacing the HVAC, roofs and windows; upgrading lighting, electrical, water, technology infrastructure, safety and security, including asbestos abatement and ADA upgrades; and acquiring fixtures, furnishings and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1729","Fall Creek",1992-11-03,"4950000","Issue Debt",898,733,"Passed",NA,NA,NA
"1729","Fall Creek",2002-11-05,"7970000","Issue Debt",677,893,"Failed","building and remodeling",1,NA
"1729","Fall Creek",2002-11-05,"90000","RR - 2004",599,953,"Failed","recurring purposes",NA,NA
"1729","Fall Creek",2003-11-04,"6285000","Issue Debt",497,551,"Failed","adding to, remodeling, improving existing school facilities, acquire/replace equipment",1,NA
"1729","Fall Creek",2018-04-03,"12400000","Issue Debt",589,377,"Passed","High School improvements consisting of:  building infrastructure, safety and security, including the addition of a secure entrance; classroom and music room modernization; renovation and expansion of the commons; construction of larger weight and fitness center; and acquisition of related furnishings, fixtures and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736","Fall River",2012-04-03,"2455000","Issue Debt",533,300,"Passed","paying the cost of making improvements to the District school building, including HVAC replacement, maintenance projects, and technology infrastructure and equipment upgrades; and acquiring and making improvements to land",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736","Fall River",2012-04-03,"1400000","Issue Debt",390,436,"Failed","paying the cost of developing and constructing a multi-purpose athletic complex",1,NA
"1736","Fall River",2012-11-06,"1350000","Issue Debt",691,807,"Failed","Developing and constructing a multi-purpose athletic complex.",1,NA
"1736","Fall River",1998-09-08,"4500000","Issue Debt",286,146,"Passed","raze old el. school; add to & remodel facilities",1,NA
"1736","Fall River",2018-04-03,"7800000","Issue Debt",523,467,"Passed","The district will be looking to make the following improvements and updates in the following areas: capital maintenance and building infrastructure; learning space updates; communication and technology system upgrades; safety and security improvements; athletic facility, field and site improvements; and acquisition of furnishings fixtures and equipment. (Safety and Security, Learning Spaces/Educational needs (GEDO II, STEM), Facility Needs and Improvements and Athletics)",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813","Fennimore Community",2014-04-01,"5890000","Issue Debt",1025,202,"Passed","Paying the cost of making improvements to the Middle/High School building and grounds, including undertaking safety and security upgrades, remodeling for additional space, adding classrooms and an office, constructing additions for a gymnasium and commons area/cafeteria and  remodeling to move the library; and acquiring furnishings, fixtures and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813","Fennimore Community",2015-06-16,"6e+05","RR - 2015",337,93,"Passed","Continuing and enhancing the educational programs of the District and maintaining the current level of District operations",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813","Fennimore Community",1997-09-09,"2898000","Issue Debt",460,529,"Failed","school addition, including gym and locker rooms",1,NA
"1813","Fennimore Community",1997-09-09,"2521000","Issue Debt",736,258,"Passed","add to and remodel high school & ADA improvements",1,NA
"1813","Fennimore Community",1996-02-06,"7270000","Issue Debt",331,660,"Failed","Q3: all of question 2 plus 3elem add",NA,NA
"1813","Fennimore Community",1996-02-06,"1490000","Issue Debt",421,572,"Failed","Q1: hs structural imprv & ADA",NA,NA
"1813","Fennimore Community",1996-02-06,"3e+06","Issue Debt",457,537,"Failed","Q2: all of question 1 plus storage space",NA,NA
"1813","Fennimore Community",1996-11-05,"3800000","Issue Debt",NA,NA,"Failed","hs add incl elevator, gym, locker rm, weight rm, art, science, nursing,  and storage",1,NA
"1813","Fennimore Community",1997-04-01,"5117000","Issue Debt",597,652,"Failed","hs add incl elevator, gym, locker rm, weight rm, art, science, nursing,  and storage",1,NA
"5757","Flambeau",1993-12-14,"5670000","Issue Debt",450,600,"Failed",NA,NA,NA
"5757","Flambeau",1996-05-28,"5e+06","Issue Debt",519,560,"Failed","new 7-12 school,new k-6",1,NA
"5757","Flambeau",1997-05-20,"7700000","Issue Debt",858,716,"Passed","new pk to 12 facility",1,NA
"1855","Florence",2004-05-11,"3750000","NR - 2004",705,993,"Failed","district operation and maintenance expenses",NA,NA
"1855","Florence",2005-02-15,"2250000","NR - 2005",1078,1124,"Failed","district operation and maintenance expenses",NA,NA
"1855","Florence",2005-06-28,"2250000","RR - 2005",1204,1225,"Failed",NA,NA,NA
"1855","Florence",2005-11-08,"4750000","NR - 2005",1424,1253,"Passed",NA,NA,NA
"1855","Florence",2009-11-03,"5e+06","NR - 2010",613,576,"Passed","school distict operation and maintenance expenses",NA,NA
"1855","Florence",2014-11-04,"2700000","NR - 2015",1036,934,"Passed","Continued operation and maintenance",NA,NA
"1855","Florence",2016-11-08,"13200000","Issue Debt",1389,1200,"Passed","Capital Improvements - HS Building Renovation",1,NA
"1855","Florence",2016-11-08,"1300000","Issue Debt",1501,1062,"Passed","Capital Improvement - STEAM renovation",1,NA
"1855","Florence",2017-11-07,"3750000","NR - 2018",383,359,"Passed","For continuing operations and maintenance of the district.",NA,NA
"1855","Florence",1992-03-10,"6e+06","Issue Debt",422,1589,"Failed",NA,NA,NA
"1855","Florence",1996-05-07,"7e+06","Issue Debt",747,876,"Failed","new k-6, dist wide remod",1,NA
"1855","Florence",1996-09-10,"5980000","Issue Debt",NA,NA,"Failed","new p-5, remod, addition",1,NA
"1855","Florence",1997-10-28,"50000","RR",689,734,"Failed","increase revenue cap 1998-99",NA,NA
"1855","Florence",1997-10-28,"150000","RR",689,734,"Failed","increase revenue cap 1999-00",NA,NA
"1855","Florence",1997-10-28,"4975000","Issue Debt",762,672,"Passed","new elem school;  add to & remodel other buildings",1,NA
"1855","Florence",1999-04-06,"158000","NR",530,1021,"Failed","exceed rev cap, op & maint; nonrecur. 99-00 thru 08-09",NA,NA
"1855","Florence",1998-02-17,"2e+05","RR",364,867,"Failed","exceed revenue cap 1999-00 for recurring purposes",NA,NA
"1855","Florence",2020-11-03,"5450000","NR - 2021",1315,1371,"Failed","Referendum to exceed revenue cap for four years beginning FY2021-2022",NA,NA
"1855","Florence",2021-04-06,"5450000","NR - 2021",730,563,"Passed","Referendum to exceed revenue cap for four years beginning FY2021-2022",NA,NA
"1862","Fond Du Lac",2005-04-05,"8765000","Issue Debt",3907,3940,"Failed","projects listed in the District's five-year Capital Improvement plan, including improvements, repairs, replacements, renovations and remodeling at various school facilities and acquisition and installation of computers adn other equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1862","Fond Du Lac",2006-04-04,"6865000","Issue Debt",5260,4175,"Passed","Paying the cost of various capital projects to maintain and protect school facilities",1,NA
"1862","Fond Du Lac",2006-04-04,"995000","Issue Debt",5327,4046,"Passed","technology including replacing outdated classroom computers and systems",1,NA
"1862","Fond Du Lac",2006-04-04,"905000","Issue Debt",5176,4200,"Passed","Paying the cost of maintaining school grounds",1,NA
"1862","Fond Du Lac",1998-04-07,"5250000","Issue Debt",3949,1207,"Passed","building maintenance and improvement",NA,NA
"1862","Fond Du Lac",1999-03-16,"850000","NR",5034,6076,"Failed","exceed revenue limit, nonrecurring, 99-00 thru 18-19",NA,NA
"1862","Fond Du Lac",1999-03-16,"4.9e+07","Issue Debt",5727,5443,"Passed","new h.s; remodel schools; upgrade wiring, technology",1,NA
"1862","Fond Du Lac",2000-04-04,"4830000","NR",3873,4052,"Failed","non recurring expenses",NA,NA
"1862","Fond Du Lac",2000-11-07,"4330000","NR",10273,11195,"Failed",NA,NA,NA
"1862","Fond Du Lac",2019-04-02,"91500000","Issue Debt",6694,4234,"Passed","Issue Debt for Capital Maintenance and Improvement Projects.",1,NA
"1862","Fond Du Lac",2019-04-02,"7e+06","Issue Debt",6411,4449,"Passed","Issue Debt for Capital Maintenance and Improvement Projects.",1,NA
"1870","Fontana J8",2018-08-14,"3e+06","NR - 2018",393,242,"Passed","Four year non-recurring referendum to exceed the revenue cap for operational purposes.",NA,1
"1870","Fontana J8",1995-10-03,"4300000","Issue Debt",227,61,"Passed","renov & remod & expansion",1,NA
"1870","Fontana J8",2022-04-05,"5400000","NR - 2022",432,170,"Passed","4 yr referendum to exceed the revenue cap.  2022-23 1,200,000, 2023-24 1,200,000, 2024-25 1,400,000, 2025-26 1,600,000",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883","Fort Atkinson",2005-10-18,"2100000","RR - 2005",1305,2097,"Failed",NA,NA,NA
"1883","Fort Atkinson",2006-04-04,"9650000","Issue Debt",1850,1649,"Passed","HVAC upgrades, air conditioning in Barrie, Purdy, Rockwell and Middle School buildings",NA,NA
"1883","Fort Atkinson",2006-04-04,"1040000","Issue Debt",1796,1711,"Passed","using geothermal rather than conventional technology for HVAC upgrades (additional cost to conventional method)",NA,NA
"1883","Fort Atkinson",2006-04-04,"3470000","NR - 2006",1768,1746,"Passed","maintaining educational programs in the school district",1,NA
"1883","Fort Atkinson",2011-04-05,"2082000","NR - 2011",2648,2644,"Passed","maintaining educational programs in the school district",1,NA
"1883","Fort Atkinson",2014-04-01,"5250000","NR - 2014",2377,1539,"Passed","To exceed revenue cap on a non-recurring basis by $1,750,000 for three years (2014-15, 2015-16, 2016-17).",NA,NA
"1883","Fort Atkinson",2016-11-08,"1750000","RR - 2017",5333,3342,"Passed","Recurring referendum for $1,750,000 in November, 2016",NA,NA
"1883","Fort Atkinson",2016-11-08,"6750000","NR - 2017",5333,3342,"Passed","Non-Recurring operating referendum on November 8, 2016",NA,1
"1883","Fort Atkinson",1995-04-04,"870000","RR",1297,3339,"Failed","Q4: exceed rev cap for operations of new school",1,NA
"1883","Fort Atkinson",1995-04-04,"735000","Issue Debt",1408,3297,"Failed","Q3: new athletic fields",1,NA
"1883","Fort Atkinson",1995-04-04,"23100000","Issue Debt",1486,3233,"Failed","Q2: new hs, conv hs to ms, conv ms to elem",1,NA
"1883","Fort Atkinson",1995-04-04,"9e+05","Issue Debt",1760,2958,"Failed","Q1: land acquisition for new hs",1,NA
"1883","Fort Atkinson",1996-05-30,"2530000","Issue Debt",2219,2020,"Passed","Q2: pool, ath field, equip aud",1,NA
"1883","Fort Atkinson",1996-05-30,"24540000","Issue Debt",2354,1903,"Passed","Q1: new hs, con hs to ms, conv ms to elem",1,NA
"1883","Fort Atkinson",2020-04-07,"9e+06","NR - 2020",2829,2298,"Passed","$3 Million Non-Recurring for 3 Years on April 7, 2020",NA,NA
"1883","Fort Atkinson",2020-04-07,"2250000","RR - 2020",2829,2298,"Passed","$2.25 Million Recurring Referendum on April 7, 2020",NA,NA
"1883","Fort Atkinson",2022-11-08,"2.2e+07","Issue Debt",4154,3696,"Passed","$22M GO Bonds for secure entries, maintenance projects, and traffic flow improvements.",1,NA
"1883","Fort Atkinson",2022-11-08,"3e+06","RR - 2022",3644,4162,"Failed","$3M Recurring beginning in 2022-23",NA,NA
"1883","Fort Atkinson",2022-11-08,"1.3e+07","NR - 2023",3644,4162,"Failed","$4M - 2023/24
$4M - 2024/25
$5M - 2025/26",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883","Fort Atkinson",2023-04-04,"3e+06","RR - 2023",2513,3463,"Failed","Recurring Referendum for $3M beginning in 2023-24.",NA,NA
"1883","Fort Atkinson",2023-04-04,"2e+07","NR - 2023",2513,3463,"Failed","Non-recurring referendum for $5M per year for four years (FY24-FY27)",NA,NA
"1890","Fox Point J2",2010-04-06,"3255000","Issue Debt",536,303,"Passed","paying the cost of energy efficiency and facility improvements to school district buildings; technology upgrades and refunding  a state trust fund loan issued to pay the District's unfunded prior service liability owed to the Wisconsin Retirement System",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890","Fox Point J2",2010-04-06,"3700000","Issue Debt",417,405,"Passed","purpose of funding the cost of providing post-employment benefits to the District's employees and former employees",NA,NA
"1890","Fox Point J2",2015-04-07,"3800000","NR - 2015",1146,950,"Passed","maintaining instructional programs, maintaining class size and meeting operating expenses",1,1
"1890","Fox Point J2",2018-11-06,"12400000","NR - 2019",2870,1641,"Passed","Non-Recurring Operational Referendum to Exceed Revenue Limit by $3.1 Million per year for Four Years, 2019-20 school year through  2022-23 school year.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890","Fox Point J2",1991-09-11,"4500000","Issue Debt",1324,382,"Passed",NA,NA,NA
"1890","Fox Point J2",1997-05-20,"3775000","Issue Debt",891,268,"Passed","middle school addition and remodeling",1,NA
"1890","Fox Point J2",2022-04-05,"58500000","Issue Debt",1386,1153,"Passed","Build new Bayside Middle School and Renovate Stormonth Elementary School",1,NA
"1890","Fox Point J2",2022-11-08,"12400000","NR - 2023",2883,1572,"Passed","Non-Recurring Operational Referendum to Exceed Revenue Limit by $3.1 Million per year for Four Years, 2023-24 school year through 2026-27 school year.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","Franklin Public",2007-04-03,"76990000","Issue Debt",2495,3811,"Failed","purchase land, construct new high school, remodel/renovate existing high school for use as middle school, equipment, furnishings and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","Franklin Public",2007-04-03,"1180000","RR - 2007",2365,3851,"Failed","utility, maintenance, and custodial expenses related to the new high school facility and acquiring land",1,NA
"1900","Franklin Public",2012-11-06,"20400000","Issue Debt",7536,6678,"Passed","Add two-story addition to high school which will include instructional space, and renovate many areas including science rooms, adding parking",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","Franklin Public",2012-11-06,"12600000","Issue Debt",7202,6907,"Passed","Add auditorium and music instruction space to high school, renovate art rooms, add parking, relocate athletic practice fields",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","Franklin Public",2012-11-06,"15800000","Issue Debt",6811,7251,"Failed","Add gym to middle school, relocate and renovate music instruction spaces, expand cafeteria, add parking, site improvements",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","Franklin Public",2016-11-08,"43300000","Issue Debt",7804,7196,"Passed","The debt would fund the construction of a new middle school on district property, tearing down the current middle school, site improvements, and the acquisition of equipment, furnishings, and fixtures.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","Franklin Public",1993-04-06,"14900000","Issue Debt",1000,2000,"Failed",NA,NA,NA
"1900","Franklin Public",1994-04-05,"14200000","Issue Debt",1700,2200,"Failed","new MS, add & add HS",1,NA
"1900","Franklin Public",1994-12-06,"8995000","Issue Debt",2806,1294,"Passed","add 19 elem clsrms, remod & add 16 clsrms to hs",1,NA
"1900","Franklin Public",1997-06-03,"18990000","Issue Debt",1816,1012,"Passed","new elementary, additions & remodel elmentary & high school",1,NA
"1939","Frederic",2018-04-03,"12730000","Issue Debt",390,578,"Failed","Facility improvement program consisting of:  all learning spaces and building mechanicals; safety, security and capital maintenance improvements; facility remodeling, additions, and renovations; site improvements; and acquisition of furnishing, fixtures and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939","Frederic",2018-04-03,"5e+05","RR - 2018",399,572,"Failed","Exceed the revenue limit by an amount not to exceed $500,000 on a recurring basis beginning with the 2018-19 school year for operational expenses, staffing, and maintenance costs.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939","Frederic",2019-04-02,"2500000","NR - 2019",601,361,"Passed","Exceed the revenue limit by an amount not to exceed $500,000 on a non-recurring basis for five years beginning with the 2019-20 school year for operational expenses, staffing and maintenance costs.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939","Frederic",2019-04-02,"7e+06","Issue Debt",559,399,"Passed","Improve and upgrade facilities to include, student learning spaces, safety and security, aging building infrastructure, maintenance building, mechanical systems, kitchen and cafeteria spaces, and related equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939","Frederic",1991-09-10,"3600000","Issue Debt",771,697,"Passed",NA,NA,NA
"1939","Frederic",1997-11-04,"8055000","Issue Debt",552,417,"Passed","raze old high school; add to & remodel other buildings",1,NA
"1953","Freedom Area",2006-11-07,"1215000","Issue Debt",1913,1649,"Passed","Land Acquisition - Cty N",NA,NA
"1953","Freedom Area",2006-11-07,"475000","Issue Debt",1507,1992,"Failed","Land Acquistion - Apple Hill",NA,NA
"1953","Freedom Area",2007-04-03,"465000","Issue Debt",438,1560,"Failed","Acquire a parcel of real estate for school sites.",NA,NA
"1953","Freedom Area",2017-11-07,"66700000","Issue Debt",1055,1811,"Failed","New High School and Renovations of current HS/MS and Elementary Schools.",1,NA
"1953","Freedom Area",2017-11-07,"3700000","NR - 2020",988,1870,"Failed","Non-Recurring Debt Referendum for New High School",1,NA
"1953","Freedom Area",2019-04-02,"55680000","Issue Debt",1400,2163,"Failed","Build New High School",1,NA
"1953","Freedom Area",2019-04-02,"625000","RR - 2021",1333,2232,"Failed","Operating Referendum for New High School",1,1
"1953","Freedom Area",1994-11-08,"6900000","Issue Debt",1000,986,"Passed","elem & ms add",NA,NA
"1953","Freedom Area",2000-09-12,"325000","RR - 2000",746,894,"Failed","recurring purposes",NA,NA
"1953","Freedom Area",2000-09-12,"12800000","Issue Debt",681,957,"Failed","capital improvements",1,NA
"1953","Freedom Area",2001-04-03,"325000","RR - 2001",890,1346,"Failed","recurring purposes",NA,NA
"1953","Freedom Area",2001-04-03,"13200000","Issue Debt",778,1461,"Failed","construct and equip new school facilities; upgrade, remodel, improve existing facilities; acquire/replace equipment",1,NA
"1953","Freedom Area",2001-09-11,"5500000","Issue Debt",756,548,"Passed","adding to, remodeling, improving existing school facilities, acquire/replace equipment",1,NA
"1953","Freedom Area",2001-09-11,"6e+05","NR",633,671,"Failed","non-recurring purposes",NA,NA
"2009","Gale-Ettrick-Trempealeau",2005-04-05,"22800000","Issue Debt",722,2012,"Failed","school building program, consisting of constructing a new high school with an auditorium; remodeling, improving, and upgrading the Trempealeau complex; and acquiring furniture, fixtures and equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009","Gale-Ettrick-Trempealeau",2005-04-05,"2500000","NR - 2005",797,1914,"Failed","cost of maintaining programming and other operation and maintenance expenses of the district",1,NA
"2009","Gale-Ettrick-Trempealeau",2006-04-04,"4e+06","NR - 2006",1563,1000,"Passed","Paying the cost of maintaining programming and other operation and maintenance expenses of the District.",1,NA
"2009","Gale-Ettrick-Trempealeau",2007-11-06,"14950000","Issue Debt",1128,959,"Passed","Finance the construction and equipping of a new  school building and improvements to other school buildings.",1,NA
"2009","Gale-Ettrick-Trempealeau",2010-09-14,"4e+06","RR - 2011",1375,1056,"Passed","paying the cost of maintaining programming and other operation and maintenance expenses of the District",1,NA
"2009","Gale-Ettrick-Trempealeau",2019-04-02,"9800000","Issue Debt",1316,1207,"Passed","For the purpose of paying the cost of constructing and equipping a new performing arts center.",1,NA
"2009","Gale-Ettrick-Trempealeau",1999-04-06,"389000","RR",414,761,"Failed","exceed rev cap, recurring, 99-00; operational",NA,1
"2044","Geneva J4",2005-02-15,"150000","RR - 2005",67,39,"Passed","maintain current level of educational programming",1,NA
"2044","Geneva J4",2013-11-05,"5550000","Issue Debt",70,208,"Failed","Building addition and renovation",1,NA
"2044","Geneva J4",2015-05-19,"3985000","Issue Debt",65,136,"Failed","Remodel existing entrance and cafeteria. Add gymnasium and 3 classrooms.",1,NA
"2044","Geneva J4",2016-11-08,"4600000","Issue Debt",369,215,"Passed","This $4.6 million referendum will provide additional space for four-year old Kindergarten, science, family and consumer science, and art, as well as a gymnasium.  In addition, secure entrances will be built and air conditioning will be installed throughout the building.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2044","Geneva J4",2000-04-04,"2200000","Issue Debt",212,67,"Passed","add to/renovate/remodel/improve existing facilities, acquire furnishings, fixtures/equipment",1,NA
"2044","Geneva J4",2022-11-08,"4500000","NR - 2023",288,275,"Passed","Exceed Revenue cap - 2023-2024 to 2025-2026",NA,NA
"2051","Genoa City J2",2007-04-03,"5085000","Issue Debt",208,243,"Failed","Elementary School Renovation and additional classroom space at the middle school",1,NA
"2051","Genoa City J2",2007-11-06,"5175000","Issue Debt",250,227,"Passed","Renovation of Brookwood Elementary School and construction of a classroom addition to Brookwood Middle School",1,NA
"2051","Genoa City J2",2017-02-21,"255000","RR - 2017",257,137,"Passed","Exceed Revenue Cap by $255,000",NA,NA
"2051","Genoa City J2",2017-02-21,"6100000","Issue Debt",255,140,"Passed","Issue Bonds for Razing and Renovating Brookwood Elementary School",1,NA
"2051","Genoa City J2",1998-11-03,"260000","Issue Debt",481,308,"Passed","shingled pitched roof for new m.s.",1,NA
"2051","Genoa City J2",1998-11-03,"7500000","Issue Debt",514,290,"Passed","middle school and remodel elem. school",1,NA
"2051","Genoa City J2",2021-04-06,"2100000","NR - 2021",266,309,"Failed",NA,NA,NA
"2051","Genoa City J2",2022-04-05,"2400000","NR - 2022",319,294,"Passed","Three year non-recurring $800,000 operational referendum beginning in 2022-2023 and ending in 2024-2025",NA,1
"2058","Germantown",2004-11-02,"1600000","Issue Debt",7256,6737,"Passed",NA,NA,NA
"2058","Germantown",2004-11-02,"5850000","Issue Debt",5831,7993,"Failed",NA,NA,NA
"2058","Germantown",2004-11-02,"4275000","Issue Debt",6646,7287,"Failed",NA,NA,NA
"2058","Germantown",2004-11-02,"3550000","Issue Debt",5472,8341,"Failed",NA,NA,NA
"2058","Germantown",2005-04-05,"4400000","Issue Debt",2900,3646,"Failed","hew high school pool and locker rooms",1,NA
"2058","Germantown",2008-04-01,"16500000","Issue Debt",2733,3362,"Failed","New Elementary School; furnishings, fixtures and equipment",1,NA
"2058","Germantown",2008-11-04,"22500000","Issue Debt",6264,8669,"Failed","New Elementary School Construction, Furnishing for it; technology & safety district wide.",1,NA
"2058","Germantown",2008-11-04,"5e+05","RR - 2010",5341,9458,"Failed","Operate elementary school",NA,NA
"2058","Germantown",2016-11-08,"8.4e+07","Issue Debt",8321,7570,"Passed","District-wide school building, capital improvements, a field house, a performing art center, and a swimming pool.",1,NA
"2058","Germantown",1993-02-16,"11400000","Issue Debt",1303,3080,"Failed",NA,NA,NA
"2058","Germantown",1994-09-13,"760000","RR",1670,2924,"Failed","operating cost for new 5-8 & h.s. addition",1,1
"2058","Germantown",1994-09-13,"540000","RR",1724,2836,"Failed","operating cost for new 5-8",1,1
"2058","Germantown",1994-09-13,"18750000","Issue Debt",1825,2817,"Failed","new 5-8 & h.s. addition",1,NA
"2058","Germantown",1994-09-13,"12135000","Issue Debt",1916,2743,"Failed","new 5-8",1,NA
"2058","Germantown",1995-06-06,"9900000","Issue Debt",1219,1287,"Failed","new 5-6",1,NA
"2058","Germantown",1995-10-10,"9900000","Issue Debt",NA,NA,"Failed","new ms",1,NA
"2058","Germantown",1996-11-05,"13915000","Issue Debt",6874,3770,"Passed","additons to middle and elementary schools",NA,NA
"2058","Germantown",2000-11-07,"2500000","Issue Debt",7033,5612,"Passed","community activities and environmental learning project",NA,NA
"2058","Germantown",2004-04-06,"15440000","Issue Debt",1926,3472,"Failed","maintenance, security, repairs and maintenance projects at various sites, addition to and remodeling/renovations at Rockfield ES; construct pool/activity center addition and remodel/renovate at HS; furnishings, fixtures, equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2114","Gibraltar Area",2004-11-02,"2500000","NR - 2005",2577,1613,"Passed","funding educational programming for students",NA,NA
"2114","Gibraltar Area",2006-11-07,"3600000","NR - 2007",2440,1287,"Passed","FOR FUNDING EDUCATIONAL PROGRAMMING FOR STUDENTS",NA,NA
