No,15,ReferendumTypeCode,PrimaryContactId,AgencyCode,AgencyName,VoteDate, Amount ,ReferendaContact,YesVotes,NoVotes,ReferendumStatusCode,IsCertificationReceived,IsDpiReviewed,BriefDescription,FullDescription,ModifiedDate
43,6047,Non-Recurring Referendum,,2212,Goodman-Armstrong Creek School District,"Tuesday, November 5, 2024"," $ 2,850,000.00 ",Leianne Gottbeheut,373,305,Passed,,,"Resolution to exceed revenue cap commencing with the 2025-26 school year by an amount of $950,000.","BE IT RESOLVED by the School Board of the Glendale-River Hills School District, Milwaukee County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $4,500,000 per year for two years, for the 2024-2025 school year and the 2025-2026 school year, for non-recurring purposes consisting of operational expenses to maintain district programs.",
44,5959,Issue Debt,,2289,Green Bay Area Public School District,"Tuesday, November 5, 2024"," $ 183,000,000.00 ",Kinsey Lehr,42130,21696,Passed,,,"Question: shall the Green Bay Area Public School District, Brown County, Wisconsin be authorized to issue pursuant to chapter 67 of the Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $183,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: district-wide capital maintenance, building infrastructure, systems, safety, security, accessibility and site improvements; construction of a new west side elementary school on a portion of the Kennedy elementary school site; construction of additions, renovations and related demolition at certain district facilities; and acquisition of furnishings, fixtures and equipment?","BE IT RESOLVED by the school board of the Green Bay Area Public School District, Brown County, Wisconsin that there shall be issued pursuant to chapter 67 of the Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $183,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: district-wide capital maintenance, building infrastructure, systems, safety, security, accessibility and site improvements; construction of a new west side elementary school on a portion of the Kennedy elementary school site; construction of additions, renovations and related demolition at certain district facilities; and acquisition of furnishings, fixtures and equipment.",
45,6028,Issue Debt,,2443,Hartford J1 School District,"Tuesday, November 5, 2024"," $ 8,200,000.00 ",Adam Majerus,7585,3867,Passed,,,"A school facility improvement project involving capital maintenance at Rossman, Lincoln and Central.  ","BE IT RESOLVED by the School Board of the School District of Hartford Joint No. 1, City of Hartford, Towns of Addison, Ashippun, Erin, Hartford and Rubicon, Washington and Dodge Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $8,200,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  capital maintenance at Rossman Elementary School, Lincoln Elementary School and Central Middle School, including remodeling, building infrastructure and systems improvements; construction of a kitchen and related storage addition at Lincoln Elementary School; and acquisition of furnishings, fixtures and equipment.",
46,5972,Issue Debt,,2436,Hartford UHS School District,"Tuesday, November 5, 2024"," $ 25,800,000.00 ",Laura Trapp,11566,9855,Passed,,,"BE IT RESOLVED by the School Board of the Hartford Union High School District, Washington and Dodge Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $25,800,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  renovations, building infrastructure (including pool updates), safety, security and accessibility improvements; construction of an addition for technical education space; outdoor physical education and athletic facility improvements, including to replace the track and to install a turf field; site improvements; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Hartford Union High School District, Washington and Dodge Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $25,800,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  renovations, building infrastructure (including pool updates), safety, security and accessibility improvements; construction of an addition for technical education space; outdoor physical education and athletic facility improvements, including to replace the track and to install a turf field; site improvements; and acquisition of furnishings, fixtures and equipment.",
47,5975,Recurring Referendum,,2611,Hudson School District,"Tuesday, November 5, 2024"," $ 5,000,000.00 ",Bonnie Stegmann,9683,10810,Failed,,,"BE IT RESOLVED by the School Board of the School District of Hudson, St. Croix County, Wisconsin, that the final school district budget shall include an amount of $5,000,000 each year in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes commencing with the 2024-25 school year on a recurring basis for the purpose of paying District operation, maintenance and staffing costs.","BE IT RESOLVED by the School Board of the School District of Hudson, St. Croix County, Wisconsin, that the final school district budget shall include an amount of $5,000,000 each year in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes commencing with the 2024-25 school year on a recurring basis for the purpose of paying District operation, maintenance and staffing costs.",
48,5933,Recurring Referendum,,2646,Iowa-Grant School District,"Tuesday, November 5, 2024"," $ 1,200,000.00 ",Michael Shimshak,1417,838,Passed,,,"To exceed the revenue limit authority on a recurring basis starting in the 2024-2025 school year to sustain programs, operations and maintenance.","BE IT RESOLVED by the Iowa-Grant School District Board of Education that the revenues included in the District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,200,000 beginning in the 2024-2025 school year, for recurring purposes.",
49,6045,Non-Recurring Referendum,,2660,Ithaca School District,"Tuesday, November 5, 2024"," $ 5,200,000.00 ",Lori Pizer,657,306,Passed,,,"Operational Referendum $1,300,000 non-recurring for 4 years","Resolution providing for a referendum election on the question of the approval of a resolution authorizing the school district budget to exceed revenue limit by $1,300,000 per year for four years for non-recurring purposes.",
50,5954,Issue Debt,,2695,Janesville School District,"Tuesday, November 5, 2024"," $ 151,800,000.00 ",Dan McCrea,19905,11563,Passed,,,For the public purpose of paying the cost of a building and improvement program.,"BE IT RESOLVED by the School Board of the School District of Janesville, Rock County, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $151,800,000 for the public purpose of paying the cost of a building and improvement program consisting of: District-wide building renovation, site improvements, safety and security updates, capital improvements, HVAC systems upgrades, Americans with Disabilities Act updates, special education support spaces; and acquisition of related fixtures, furnishings and equipment",
51,5957,Non-Recurring Referendum,,2695,Janesville School District,"Tuesday, November 5, 2024"," $ 29,000,000.00 ",Dan McCrea,19014,12443,Passed,,,"2 year, non-recurring at $14,500,000 each year for a total of $29,000,000","BE IT RESOLVED by the School Board of the School District of Janesville, Rock County, Wisconsin, that the final school district budget shall include an amount not to exceed $14,500,000 in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes each year for a period of two years on a non-recurring basis, beginning with the 2025-26 school year and ending with the 2026-27 school year, for the purpose of paying the costs of maintaining District class size, student program options and services.",
52,5984,Non-Recurring Referendum,,2702,Jefferson School District,"Tuesday, November 5, 2024"," $ 5,600,000.00 ",Ryan Bandt,4103,3327,Passed,,,"Exceed revenue limit by $1,400,000 a year for 4 years on a non-recurring basis for operational purposes","""Shall the School District of Jefferson, Jefferson County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,400,000 for the 2024-2025 school year and for each of the succeeding three school years thereafter, for non-recurring purposes to fund operating costs to maintain educational and co-curricular programs, including elementary reading; behavioral and mental health resources for students; school safety and technology infrastructure; and to sustain student to staff ratios?""",
53,6070,Non-Recurring Referendum,,2730,Johnson Creek School District,"Tuesday, November 5, 2024"," $ 10,000,000.00 ",Mark Gruen,1626,1415,Passed,,,"Johnson Creek is going to referendum for operating purposes in the amount of $2,500,000 non-recurring for 4 years - starting with the 2024-2025 school year.","Shall the School District of Johnson Creek, Jefferson County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,500,000 per year, for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes to maintain ongoing operational expenses, technology, safety, and educational programming. ",
54,6079,Non-Recurring Referendum,,2737,Juda School Distrist,"Tuesday, November 5, 2024"," $ 750,000.00 ",Traci Davis,426,356,Passed,,,"The District is asking for $150,000 for five years for operational/projects.  ","BE IT RESOLVED by the School Board of the School District of Juda, Green County, Wisconsin, that the final school district budget beginning with the 2024-25 school year shall include the following amounts in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes: $350,000 each year on a recurring basis for the purpose of paying District operating costs including curriculum, utilities, technology, insurance, professional development and staffing needs, and by an additional $150,000 each year through the 2028-2029 school year on a non-recurring basis to pay costs of capital projects including, but not limited to, boilers, parking lot improvements, building maintenance and repairs and upgrades to the Career and Technical Education services area.",
55,6078,Recurring Referendum,,2737,Juda School Distrist,"Tuesday, November 5, 2024"," $ 350,000.00 ",Traci Davis,426,356,Passed,,,"The District is asking for a $350,000 recurring operational referendum.","BE IT RESOLVED by the School Board of the School District of Juda, Green County, Wisconsin, that the final school district budget beginning with the 2024-25 school year shall include the following amounts in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes: $350,000 each year on a recurring basis for the purpose of paying District operating costs including curriculum, utilities, technology, insurance, professional development and staffing needs, and by an additional $150,000 each year through the 2028-2029 school year on a non-recurring basis to pay costs of capital projects including, but not limited to, boilers, parking lot improvements, building maintenance and repairs and upgrades to the Career and Technical Education services area.",
56,6003,Issue Debt,,2758,Kaukauna Area School District,"Tuesday, November 5, 2024"," $ 198,000,000.00 ",Chris McDaniel,11379,6563,Passed,,,"Asking for an amount not to exceed $198,000,000 for the public purpose of paying the cost construct a replacement middle school on district-owned land, repurposing current middle school site, compliance updates with American with Disability Act, capital maintenance, building systems, safety, security, other site improvements at Park Community Charter, H.B. Tanner Early Learning Center, Electa Quinney/New Directions, and Kaukauna High School, construction of additions and renovations at Victor Haen, and acquisition of furnishings, fixtures, and equipment.","BE IT RESOLVED by the Board of Education of the Kaukauna Area School District, Outagamie County, Brown County, and Calumet County, Wisconsin shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $198,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: the construction of a replacement middle school on district-owned land, the repurposing of the current middle school site; Americans with Disabilities Act compliance updates, capital maintenance, building systems, safety, security, and other site improvements at Park Community Charter School, H.B. Tanner Early Learning Center, Electa Quinney Elementary/New Directions Learning Community, and Kaukauna High School; construction of additions and renovations at Victor Haen Elementary School; and acquisition of furnishings, fixtures, and equipment.",
57,5973,Issue Debt,,2828,Kiel Area School District,"Tuesday, November 5, 2024"," $ 67,000,000.00 ",Becki Giebel,1421,4177,Failed,,,"$5,000,000 each year in excess of the revenue limits imposed by Section 121.91 of the","BE IT RESOLVED by the School Board of the Kiel Area School District, Manitowoc, Calumet and Sheboygan Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $67,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of an addition and renovations at the current High School to create a combined Middle/High School campus, including the relocation of the Middle School and other programs and departments from the current Middle School building to the combined campus, and safety, security and site improvements;  district-wide capital maintenance and building infrastructure improvements; and acquisition of furnishings, fixtures and equipment.",
58,5923,Issue Debt,,2849,La Crosse School District,"Tuesday, November 5, 2024"," $ 53,500,000.00 ",Patricia Sprang,21063,13644,Passed,,,"Issue general obligation bonds in an amount not to exceed $53,500,000 for the public purpose of paying the cost of a school building and facility improvement project","BE IT RESOLVED by the School Board of the School District of La Crosse, La Crosse and Vernon Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $53,500,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of a new elementary school to accommodate the consolidation of Emerson Elementary and Spence Elementary Schools at the existing Hogan Administrative Building site; removal of the current Hogan Administrative Building; construction of additions, including for classrooms and a gymnasium, at State Road Elementary School to accommodate the consolidation of State Road Elementary and Hintgen Elementary at the State Road site; and acquisition of furnishings, fixtures and equipment.",
59,6019,Non-Recurring Referendum,,2863,La Farge School District,"Tuesday, November 5, 2024"," $ 900,000.00 ",Meaghan Gustafson,591,400,Passed,,,Operating Referendum,"BE IT RESOLVED by the School Board of the School District of La Farge, Vernon and Richland Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $300,000 per year for three years, beginning with the 2024-2025 school year and ending with the 2026-2027 school year, for non-recurring purposes for maintaining education and operational services.",
60,5939,Issue Debt,,2898,Lake Mills Area School District,"Tuesday, November 5, 2024"," $ 36,900,000.00 ",Tasha Naylor,3569,2952,Passed,,,Wisconsin Statutes commencing with the 2024-25 school year on a recurring basis for the,"Shall the Lake Mills Area School District, Jefferson County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $36,900,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  district-wide capital maintenance, building infrastructure, energy efficiency, safety, security, and site improvements; renovations at the High School, including for a safe and secure entrance and classrooms; construction of an addition and renovations at the Elementary School; indoor renovations and outdoor site improvements at the Middle School; demolition of the current bus barn, and acquisition of land for and construction of a replacement bus barn; and acquisition of furnishings, fixtures and equipment?",
61,5940,Issue Debt,,2898,Lake Mills Area School District,"Tuesday, November 5, 2024"," $ 14,300,000.00 ",Tasha Naylor,3366,3144,Passed,,,"purpose of paying District operation, maintenance and staffing costs.","Shall the Lake Mills Area School District, Jefferson County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $14,300,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  renovations and construction of a gymnasium to replace the current lower gymnasium at the High School; related demolition; and acquisition of furnishings, fixtures and equipment?",
62,6036,Recurring Referendum,,3087,Linn J4 School District,"Tuesday, November 5, 2024"," $ 650,000.00 ",Allyssa Andersen,313,248,Passed,,,"Exceed Revenue Limit by $650,000 on a recurring basis beginning in the 2024-25 school year to maintain and enhance student safety and learning and to provide for operational needs of the district.","Be it resolved by the School Board of Joint School District Number 4, Towns of Linn and Bloomfield, Walworth County, Wisconsin, that the school district budget for the 2024-2025 school year, and for each successive year thereafter, shall include, on a recurring basis, an amount of $650,000 in excess of the revenue limits imposed by Section 121.91(2m) of the Wisconsin Statutes in order to maintain and enhance student safety and learning and to provide for operational needs of the school district.”",
63,5938,Issue Debt,,3094,Linn J6 School District,"Tuesday, November 5, 2024"," $ 4,100,000.00 ",Tami Martin,498,328,Passed,,,"Shall the Joint School District Number 6, Towns of Linn and Walworth, Village of Fontana, Walworth County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $4,100,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of: safety, security and building infrastructure improvements; construction of an addition, including for a cafeteria and a music room; renovations to the Elementary School wing; and acquisition of furnishings, fixtures and equipment?","Shall the Joint School District Number 6, Towns of Linn and Walworth, Village of Fontana, Walworth County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $4,100,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of: safety, security and building infrastructure improvements; construction of an addition, including for a cafeteria and a music room; renovations to the Elementary School wing; and acquisition of furnishings, fixtures and equipment?",
64,5937,Non-Recurring Referendum,,3094,Linn J6 School District,"Tuesday, November 5, 2024"," $ 1,280,000.00 ",Tami Martin,512,320,Passed,,,"Shall the Joint School District Number 6, Towns of Linn and Walworth, Village of Fontana, Walworth County, Wisconsin be Walworth, Village of Fontana, Walworth County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $320,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses, including for educational programming, staff salary and benefits, technology, maintenance and transportation expenses","Shall the Joint School District Number 6, Towns of Linn and Walworth, Village of Fontana, Walworth County, Wisconsin be Walworth, Village of Fontana, Walworth County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $320,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses, including for educational programming, staff salary and benefits, technology, maintenance and transportation expenses",
65,5930,Issue Debt,,3269,Madison Metropolitan School District,"Tuesday, November 5, 2024"," $ 507,000,000.00 ",Robert Soldner,117159,45851,Passed,,,"General Obligation Bonds not to exceed $507 million for a school building and facility improvement project consisting of: renovations, construction of school buildings and/or additions.","BE IT RESOLVED by the School Board of the Madison Metropolitan School District, Dane County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $507 million for the public purpose of paying the cost of a school building and facility improvement project consisting of: renovations, construction of school buildings and/or additions, including air conditioning and heating improvements, and for science, technology, engineering and mathematics (STEM) labs and classrooms, the arts, libraries, cafeterias, and co-curricular, activity and shared community spaces at Malcolm Shabazz City High School, Milele Chikasa Anana Elementary School, Black Hawk Middle School, Cherokee Heights Middle School, Crestwood Elementary School, Samuel Gompers Elementary School, Orchard Ridge Elementary School, Ray F. Sennett Middle School, Sherman Middle School and Akira R. Toki Middle School; possible related demolition; district-wide accessibility, safety, environmental sustainability and building infrastructure improvements; and acquisition of furnishings, fixtures and equipment.",
66,5932,Recurring Referendum,,3269,Madison Metropolitan School District,"Tuesday, November 5, 2024"," $ 100,000,000.00 ",Robert Soldner,114261,50390,Passed,,,"Referendum to exceed the revenue limit on a recurring basis for operational and maintenance expenses, including for educational programming and employee compensation and benefits.","BE IT RESOLVED by the School Board of the Madison Metropolitan School District, Dane County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $30 million for the 2024-2025 school year; by an additional $30 million for the 2025-2026 school year; by an additional $20 million for the 2026-2027 school year; and by an additional $20 million (for a total of $100 million) for the 2027-2028 school year and thereafter, for recurring purposes consisting of operational and maintenance expenses, including for educational programming and employee compensation and benefits.",
67,6002,Recurring Referendum,,1897,Maple Dale-Indian Hill School District,"Tuesday, November 5, 2024"," $ 1,750,000.00 ",Sue Simpson Bark,2248,1472,Passed,,,for operational expenses,"BE IT RESOLVED by the School Board of the Maple Dale-Indian Hill School District, Milwaukee County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,750,000 beginning with the 2025-2026 school year, for recurring purposes consisting of expenses related to maintaining small class sizes and ongoing educational and operational expenses. ",
68,6011,Recurring Referendum,,3304,Marathon City School District,"Tuesday, November 5, 2024"," $ 1,600,000.00 ",Richard Parks,1532,1337,Passed,,,"RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $1,600,000.00 FOR RECURRING PURPOSES. ","BE IT RESOLVED by the School Board of the School District of Marathon City, Marathon County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,600,000 beginning with the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses.",
69,5988,Issue Debt,,3318,Marion School District,"Tuesday, November 5, 2024"," $ 7,380,000.00 ",Nathan Papendorf,1268,838,Passed,,,"Issue general obligation bonds in an amount not to exceed $7,380,000 for the public purpose","BE IT RESOLVED by the School Board of the School District of Marion, Waupaca and Shawano Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $7,380,000 for the public purpose of paying the cost of a school facility improvement project consisting of: district-wide capital maintenance, building infrastructure and systems improvements; accessibility updates and remodeling at the Elementary School, including for a secure entrance and office; science, agriculture and technical education upgrades at the High School; and acquisition of furnishings, fixtures and equipment.",
70,5989,Issue Debt,,3318,Marion School District,"Tuesday, November 5, 2024"," $ 7,600,000.00 ",Nathan Papendorf,1091,1005,Passed,,,"Issue general obligation bonds in an amount not to exceed $7,600,000 for the public purpose","BE IT RESOLVED by the School Board of the School District of Marion, Waupaca and Shawano Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $7,600,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of an addition, renovations and site improvements at the Elementary School to create a combined Elementary/Middle School at the current Elementary School campus; and acquisition of furnishings, fixtures and equipment.",
71,5964,Issue Debt,,3325,Markesan School District,"Tuesday, November 5, 2024"," $ 26,000,000.00 ",Ann Winkers,1758,1450,Passed,,,of paying the cost of a school building and facility improvement project consisting of:,"BE IT RESOLVED by the School Board of the School District of Markesan, Green Lake, Fond du Lac, Columbia, Marquette and Dodge Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $26,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: construction of an addition and renovations at the Elementary School, including for classrooms, art, music, special education, the library and offices; renovations at the Middle/High School, including for a secure entrance; district-wide capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.",
72,6034,Non-Recurring Referendum,,3332,Marshall School District,"Tuesday, November 5, 2024"," $ 5,625,000.00 ",Kristin Wilkinson,1848,1411,Passed,,,"Seek permission to exceed the revenue limits on a non-recurring basis for the 2025-26, 2026-27 & 2027-28 school years by $1,875,000 per year for the purposes of paying salary for staff, maintaining current student academic, student","BE IT RESOLVED by the School Board of the Joint School District Number 2, Village of Marshall, Towns of Cottage Grove, Deerfield, Medina, Sun Prairie and York, Dane County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,875,000 per year beginning with the 2025-2026 school year and ending with the 2027-2028 school year on a non-recurring basis for the purposes of paying salary for staff, maintaining current student academic, student co-curricular and student athletic programs, and updating instructional resources and technology.  ",
73,5974,Issue Debt,,3339,Marshfield Unified School District,"Tuesday, November 5, 2024"," $ 71,575,000.00 ",Jenni Heeg,7820,7617,Passed,,,"co-curricular and student athletic programs, and updating instructional resources and technology.","BE IT RESOLVED by the School Board of the Unified School District of Marshfield, Wood, Marathon and Clark Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $71,575,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of additions, renovations, and capital maintenance, safety, security, physical education, building infrastructure, systems and site improvements at the High School and Grant Elementary School; and acquisition of furnishings, fixtures and equipment.",
74,6057,Non-Recurring Referendum,,3360,Mauston School District,"Tuesday, November 5, 2024"," $ 7,000,000.00 ",Sue Goyette,2580,2638,Failed,,,"Operational non-recurring referendum to exceed revenue limits by $1,750,000 per year for four years beginning with the 2024-2025 school year and ending with the 2027-2028 school year.","""Shall the School District of Mauston, Juneau County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,750,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses?""",
75,6065,Recurring Referendum,,3381,McFarland School District,"Tuesday, November 5, 2024"," $ 5,250,000.00 ",Jeff Mahoney,4830,3672,Passed,,,"The School District of McFarland School Board supports inclusion in the final District budget the following revenues in excess of the revenue limit set forth in Wis. Stat. § 121.91: by $1,750,000 for the 2024-2025 school year; and by an additional $1,750,000 for the 2025-2026 school year (for a total of $3,500,000); and by an additional $1,750,000 for the 2026-2027 school year (for a total of $5,250,000), and thereafter, for recurring purposes consisting of staff salaries and benefits.","The School District of McFarland School Board supports inclusion in the final District budget the following revenues in excess of the revenue limit set forth in Wis. Stat. § 121.91: by $1,750,000 for the 2024-2025 school year; and by an additional $1,750,000 for the 2025-2026 school year (for a total of $3,500,000); and by an additional $1,750,000 for the 2026-2027 school year (for a total of $5,250,000), and thereafter, for recurring purposes consisting of staff salaries and benefits.",
76,6061,Issue Debt,,3409,Medford School District,"Tuesday, November 5, 2024"," $ 22,665,000.00 ",Audra Brooks,3905,3553,Passed,,,"Initial Resolution not to exceed $22,665,000 for the purpose of paying for the cost of a school facility improvement project ","BE IT RESOLVED by the School Board of the Medford Area Public School District, Taylor and Marathon Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $22,665,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  construction of an addition and renovations at the High School, including for technical education, classrooms and accessibility updates; capital maintenance, remodeling, safety and systems improvements at the Elementary, Middle and High Schools; and acquisition of furnishings, fixtures and equipment.",
77,6040,Non-Recurring Referendum,,3479,Mequon-Thiensville School District,"Tuesday, November 5, 2024"," $ 26,400,000.00 ",Cindy Leinfelder,9900,9087,Passed,,,Referendum to exceed revenue limit for four years for non-recurring purposes,"BE IT RESOLVED by the School Board of the Mequon-Thiensville School District, Ozaukee County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $5,500,000 for the 2024-25 school year, by $6,200,000 for the 2025-26 school year, by $6,900,000 for the 2026-27 school year, and by $7,800,000 for the 2027-2028 school year, for non-recurring purposes consisting of operational expenses.",
78,5981,Recurring Referendum,,3612,Milton School District,"Tuesday, November 5, 2024"," $ 5,000,000.00 ",Ross MacPherson,6737,6522,Passed,,,"Exceed the revenue limit on a recurring basis for $5,000,000 beginning in the 2026-27 school year for the purpose of sustaining educational programming and staffing. ","BE IT RESOLVED by the School Board of the School District of Milton, Rock and Jefferson Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by 5,000,000 beginning with the 2026-2027 school year, for recurring purposes consisting of ongoing educational programming and staffing.",
79,6072,Recurring Referendum,,3633,Mineral Point School District,"Tuesday, November 5, 2024"," $ 1,300,000.00 ",Angela Schubert,1698,971,Passed,,,"Paying the costs of maintaining the educational programs, facilities, and equipment of the District.","BE IT RESOLVED by the School Board of the Mineral Point Unified School District, Iowa and Lafayette Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,300,000 beginning with the 2025-2026 school year, for recurring purposes consisting of ongoing operational expenses.",
80,5976,issue Debt,,3661,Mischicot School District,"Tuesday, November 5, 2024"," $ 29,650,000.00 ",Samantha Dirkmann,2276,1462,Passed,,,"Board Adopted an Initial Resolution Authorizing General Obligation Bonds in an Amount Not to Exceed $29,650,000 and a Resolution Providing for a Referendum Election on the Question of the Approval of an Initial Resolution Authorizing the Issuance of General Obligation Bonds in an Amount Not to Exceed $29,650,000.  Referendum to be held on November 5, 2024.","BE IT RESOLVED by the School Board of the School District of Mishicot, Manitowoc County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $29,650,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of additions and renovations at the Middle/High School, including for a performing arts center, career and technical education space and a cafeteria/kitchen, and classroom, fitness and athletic facility improvements; renovations and construction of an outdoor classroom at the Elementary School; district-wide capital maintenance, safety, security, building infrastructure, roof replacement and site improvements; and acquisition of furnishings, fixtures and equipment. Adopted and recorded August 12, 2024.",
81,5986,Non-Recurring Referendum,,3682,Monroe School District,"Tuesday, November 5, 2024"," $ 6,000,000.00 ",Ron Olson,3755,4554,Failed,,,"RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $1,500,000 PER YEAR FOR FOUR YEARS FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the School District of Monroe, Green County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,500,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of maintaining current programming, services, class sizes and elective offerings and sustaining the current replacement schedule for technology, curriculum and textbooks.",
