OriginalReferendumId,ReferendumTypeCode,PrimaryContactId,AgencyCode,AgencyName,VoteDate, Amount ,ReferendaContact,YesVotes,NoVotes,ReferendumStatusCode,IsCertificationReceived,IsDpiReviewed,BriefDescription,FullDescription,ModifiedDate
5899,Recurring Referendum,365,2527,Highland School District,"Tuesday, April 2, 2024"," $ 600,000.00 ",Linda Hebgen,315,154,Passed,FALSE,FALSE,"Exceed the revenue limit, by $600,000 beginning with
the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses.","BE IT RESOLVED by the School Board of the Highland School District, Iowa and Grant Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $600,000 beginning with the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses.",1/22/24 8:47
5883,Issue Debt,2639,2625,Hustisford School District,"Tuesday, April 2, 2024"," $ 5,300,000.00 ",Jessica Holtz,515,583,Failed,FALSE,FALSE,School facility improvement project consisting of MSHS Roof Replacement; HVAC maintenance and improvements at JHE & MSHS.,"BE IT RESOLVED by the School Board of the Hustisford School District, Dodge County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $5,300,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of: roof replacement at the Junior/Senior High School; HVAC, capital maintenance and building infrastructure improvements and renovations at the Elementary School and Junior/Senior High School; and acquisition of related furnishings, fixtures and equipment.",1/16/24 14:16
5828,Issue Debt,136,2639,Iola-Scandinavia School District,"Tuesday, April 2, 2024"," $ 2,300,000.00 ",Sarah Thiel,826,412,Passed,FALSE,FALSE,Referendum to issue debt for school safety and building updates,"BE IT RESOLVED, by the School Board of the School District of Iola-Scandinavia, Waupaca and Portage Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $2,300,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of: building systems, infrastructure, safety and security improvements, including remodeling for secure main entrances; and acquisition of furnishings, fixtures and equipment.",12/13/23 11:12
5855,Non-Recurring Referendum,8808,2702,Jefferson School District,"Tuesday, April 2, 2024"," $ 8,400,000.00 ",Ryan Bandt,1100,1785,Failed,FALSE,FALSE,"Exceed revenue limit by $2,100,000 a year for 4 years on a non-recurring basis for operational needs","Question: Shall the School District of Jefferson, Jefferson County, Wisconsin, be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,100,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of maintaining comprehensive instructional and co-curricular programs, student support and mental health services, safety and technology infrastructure, and sustaining salary and benefits?",1/9/24 13:39
5907,Recurring Referendum,1030,2730,Johnson Creek School District,"Tuesday, April 2, 2024"," $ 3,000,000.00 ",Mark Gruen,587,615,Failed,FALSE,FALSE,"Shall the School District of Johnson Creek, Jefferson County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $3,000,000 beginning with the 2024-2025 school year, for recurring purposes to maintain ongoing operational expenses, technology, safety, and educational programming?","Shall the School District of Johnson Creek, Jefferson County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $3,000,000 beginning with the 2024-2025 school year, for recurring purposes to maintain ongoing operational expenses, technology, safety, and educational programming?",1/23/24 14:27
5869,Recurring Referendum,8872,2737,Juda School District,"Tuesday, April 2, 2024"," $ 500,000.00 ",Traci Davis,200,233,Failed,FALSE,FALSE,"The District is seeking a $500,000 recurring operational referendum.","RESOLUTION TO EXCEED REVENUE CAP COMMENCING WITH THE 2024-25 SCHOOL YEAR

BE IT RESOLVED by the School Board of the School District of Juda, Green County, Wisconsin, that the final school district budget shall include an amount not to exceed $500,000 in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes each year beginning with the 2024-25 school year on a recurring basis for the purpose of paying District operating costs including, but not limited to, maintaining current staff and offering insurance for support staff and costs of capital projects including boilers, parking lot improvements, building maintenance and repairs and upgrades to the Career and Technical Education services area.",1/11/24 18:24
5853,Recurring Referendum,8863,5960,Kickapoo Area School District,"Tuesday, April 2, 2024"," $ 1,600,000.00 ",Marla Randall,370,346,Passed,FALSE,FALSE,To exceed revenue limit for recurring purposes consisting of maintain existing educational programs and services.,"BE IT RESOLVED by the School Board of the Kickapoo Area School District, Vernon, Richland and Crawford Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $400,000 for the 2024-2025 school year; by an additional $400,000 (for a total of $800,000) for the 2025-2026 school year; by an additional $400,000 (for a total of $1,200,000) for the 2026-2027 school year; and by an additional $400,000 (for a total of $1,600,000 and to remain at that amount) for the 2027-2028 school year and thereafter, for recurring purposes consisting of operational and maintenance expenses, including to maintain educational programming and services.",1/4/24 0:00
5880,Non-Recurring Referendum,7007,3862,Lake Country School District,"Tuesday, April 2, 2024"," $ 7,200,000.00 ",Melissa Schoeder,594,695,Failed,FALSE,FALSE,"Exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $7,200,000 over 7 years for non-recurring purposes consisting of operational expenses, including but not limited to maintaining curriculum programs and services.","Exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $450,000 for the 2024-2025 school year, $650,000 for the 2025-2026 school year, $850,000 for the 2026-2027 school year, $1,050,000 for the 2027-2028 school year, $1,20,000 for the 2028-2029 school year, $1,400,000 for the 2029-2030 school year, $1,600,000 for the 2030-2031 school year for non-recurring purposes consisting of operational expenses, including but not limited to maintaining curriculum programs and services.",1/16/24 11:01
5878,Issue Debt,7007,3862,Lake Country School District,"Tuesday, April 2, 2024"," $ 9,500,000.00 ",Melissa Schoeder,691,589,Passed,FALSE,FALSE,"General Obligation Bonds in an amount not to exceed $9,500,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: district-wide safety, security, building systems, parking lot, and technology infrastructure improvements.","General Obligation Bonds in an amount not to exceed $9,500,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: district-wide safety, security, building systems, parking lot, and technology infrastructure improvements.",1/16/24 10:55
5914,Recurring Referendum,674,2885,Lake Geneva J1 School District,"Tuesday, April 2, 2024"," $ 3,000,000.00 ",George Chironis,1896,2390,Failed,FALSE,FALSE,"$3,000,000 RR","BE IT RESOLVED by the School Board of the Lake Geneva
Joint School District No. 1, City of Lake Geneva, Towns of
Bloomfield, Geneva, LaFayette, Linn, Lyons and Spring Prairie,
Walworth County, Wisconsin that the revenues included in the
School District budget be authorized to exceed the revenue limit
specified in Section 121.91, Wisconsin Statutes, by $3,000,000
beginning with the 2024-2025 school year, for recurring purposes
consisting of ongoing operational and maintenance expenses,
infrastructure, technology and safety upgrades and for educational
programming.",1/29/2024 17:19
5915,Recurring Referendum,,2886,Lake Geneva-Genoa City Union HIgh School District,"Tuesday, April 2, 2024"," $ 3,000,000.00 ",George Chironis,2345,3101,Failed,,,"$3,000,000 RR","BE IT RESOLVED by the School Board of the Lake Geneva-Genoa City Union High School District, Walworth County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $3,000,000 beginning with the 2024-2025 school year, for recurring purposes consisting of ongoing operational and maintenance expenses, infrastructure, technology and safety upgrades and for education programming.",1/29/2024 17:19
5838,Non-Recurring Referendum,983,3213,Luck School District,"Tuesday, April 2, 2024"," $ 2,500,000.00 ",Heather Zacco,430,414,Passed,FALSE,FALSE,Purposes consisting of maintaining current levels of educational programming and operational costs.,"BE IT RESOLVED by the School Board of the School District of Luck, Polk County, Wisconsin that the revenues included in the School District budget be authorized to continue to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $500,000 per year beginning with the 2024-2025 school year and ending with the 2028-2029 school year, for non-recurring purposes consisting of maintaining current levels of educational programming and operational costs.",12/20/23 11:50
5905,Non-Recurring Referendum,455,3220,Luxemburg-Casco School District,"Tuesday, April 2, 2024"," $ 5,400,000.00 ",Rebecca Dobbe,1884,1766,Passed,FALSE,FALSE,Exceed the revenue limit for years for operational expenses,"BE IT RESOLVED by the School Board of the Luxemburg-Casco School District, Kewaunee and Brown Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,800,000 per year for three years, beginning with the 2024-2025 school year and ending with the 2026-2027 school year, for non-recurring purposes consisting of operational expenses including staff wages and benefits and maintaining literacy, reading, and college and technical career programming.",1/23/24 10:57
5911,Issue Debt,5722,3332,Marshall School District,"Tuesday, April 2, 2024"," $ 5,000,000.00 ",Kristin Wilkinson,648,701,Failed,FALSE,FALSE,"Seek permission to exceed the revenue limit for capital improvement projects including district-wide safe and secure school entrance improvements and Americans with Disabilities Act (ADA) accessibility updates; capital maintenance improvements, including roof and window replacements at Marshall Elementary School; a bathroom/concessions building at District athletic facilities; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Joint School District Number 2, Village
of Marshall, Towns of Cottage Grove, Deerfield, Medina, Sun Prairie and York, Dane County,
Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $5,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: district-wide safe and secure school entrance improvements and Americans with Disabilities Act (ADA) accessibility updates; capital maintenance improvements, including roof and window replacements at Marshall Elementary School; a bathroom/concessions building at District athletic facilities; and acquisition of furnishings, fixtures and equipment.
Adopted and recorded January 22, 2024.",1/24/2024 13:10
5893,Non-Recurring Referendum,307,3360,Mauston School District,"Tuesday, April 2, 2024"," $ 9,000,000.00 ",Susan Goyette,785,1265,Failed,FALSE,FALSE,"Operational expenses, including for staff salary and benefits, to maintain class sizes and caseloads, to maintain technology and infrastructure, to maintain academic programs and to address behavior and mental health support.","BE IT RESOLVED by the School Board of the School District of Mauston, Juneau County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,250,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses, including for staff salary and benefits, to maintain class sizes and caseloads, to maintain technology and infrastructure, to maintain academic programs and to address behavior and mental health support.",1/18/24 15:37
5836,Recurring Referendum,8358,3381,McFarland School District,"Tuesday, April 2, 2024"," $ 10,600,000.00 ",Jeff Mahoney,2005,2849,Failed,FALSE,FALSE,"5yr Recurring Referendum to exceed Revenue Cap for additional revenues to be used to maintain 4K-Grade 12 instruction.  $3,700,000 on a recurring basis, beginning with the 2024-2025 school year, $1,500,000 on a recurring basis, beginning with the 2025-2026 school year, $1,700,000 on a recurring basis, beginning with the 2026-2027 school year, $1,800,000 on a recurring basis, beginning with the 2027-2028 school year, and $1,900,000 on a recurring basis, beginning with the 2028-2029 school year","RESOLUTION AUTHORIZING THE DISTRICT BUDGET TO
EXCEED REVENUE LIMIT FOR RECURRING PURPOSES AND PROVIDING FOR A REFERENDUM ELECTION ON THE QUESTION OF WHETHER 
TO APPROVE THE RESOLUTION

WHEREAS, the School District of McFarland School Board, Dane County, Wisconsin, (the “District”), hereby adopts this resolution entitled: “Resolution Authorizing The District Budget To Exceed Revenue Limit For Recurring Purposes And Providing For A Referendum Election On The Question Of Whether To Approve The Resolution” (the “Revenue Limit Resolution”) in order to authorize the District budget to exceed the revenue limit set forth in Wis. Stat. § 121.91, for recurring purposes by $3,700,000 beginning with the 2024-2025 school year, by $1,500,000 beginning with the 2025-2026 school year, by $1,700,000 beginning with the 2026-2027 school year, by $1,800,000 beginning with the 2027-2028 school year and by $1,900,000 beginning with the 2028-2029 school year; and
WHEREAS, the School Board deems it to be desirable and in the best interest of the District, in order to maintain programs for 4K-Grade 12 instruction, to direct the District Clerk to submit the Revenue Limit Resolution to the electors for approval or rejection at the regularly scheduled spring election to be held on April 2, 2024; and
WHEREAS, this Revenue Limit Resolution must be approved by the electors for the District to be authorized to include the additional revenue in the District budgets beginning with the 2024-2025 school year.
  NOW, THEREFORE, BE IT RESOLVED by the School District of McFarland School Board as follows:
1.	Board Resolution.  The School District of McFarland School Board supports inclusion in the final District budget the following revenues in excess of the revenue limit set forth in Wis. Stat. § 121.91: $3,700,000 on a recurring basis, beginning with the 2024-2025 school year, $1,500,000 on a recurring basis, beginning with the 2025-2026 school year, $1,700,000 on a recurring basis, beginning with the 2026-2027 school year, $1,800,000 on a recurring basis, beginning with the 2027-2028 school year, and $1,900,000 on a recurring basis, beginning with the 2028-2029 school year; such additional revenues to be used to maintain 4K-Grade 12 instruction.  
2.	Referendum Election Date.  The District Clerk is hereby directed to call a referendum election to be held in the District at the regularly scheduled spring election to be held on April 2, 2024, for the purpose of submitting to the qualified electors of the District the proposition of whether this Revenue Limit Resolution shall be approved or rejected.  Further, the District Clerk shall prepare the requisite notices and provide election officials with all necessary election supplies, including ballots, if and to the extent required by Wis. Stat. § 121.91(3)(c).  
3.	DPI Notice.  Pursuant to the provisions of Wis. Stat. § 121.91(3)(a), the District Clerk shall notify the Department of Public Instruction of the date of the referendum election and shall provide the Department with a copy of this Revenue Limit Resolution within 10 days after its adoption, and shall further certify the results of the referendum to the Department within 10 days following the election.
4.	Filing of Resolution.  The District Clerk is directed to file this Resolution, ballots, and any other necessary election supplies with the official or agency responsible for preparing the ballots for the election no later than 70 days prior to the election on April 2, 2024, as required by Wis. Stats. § §121.91(3)(c) and 8.37.  
Adopted and recorded December 18, 2023.",12/20/23 8:49
5844,Non-Recurring Referendum,470,3427,Mellen School District,"Tuesday, April 2, 2024"," $ 1,500,000.00 ",Rachele Watson,277,355,Failed,FALSE,FALSE,"3 year non-recurring operational referendum for $500,000 for each year ($500,000 in 2024-2025, $500,000 in 2025-2026 and $500,000 in 2026-2027), for a total of $1,500,000.00.","3 year non-recurring operational referendum for $500,000 for each year ($500,000 in 2024-2025, $500,000 in 2025-2026 and $500,000 in 2026-2027), for paying the ongoing operational expenses of the school district (Total of $1,500,000.00)",1/16/24 8:16
5819,Recurring Referendum,970,3444,Menomonie Area School District,"Tuesday, February 20, 2024"," $ 4,200,000.00 ",Leah Theder,1891,2768,Failed,FALSE,FALSE,"RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT 
BY $4,200,000 FOR RECURRING PURPOSES.","BE IT RESOLVED by the School Board of the School District of the Menomonie Area, Dunn and St. Croix Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $4,200,000 beginning with the 2024-2025 school year, for recurring purposes consisting of operational expenses.",12/12/23 11:46
5906,Non-Recurring Referendum,1030,3484,Mercer School District,"Tuesday, April 2, 2024"," $ 4,000,000.00 ",Tricia Thompson,455,286,Passed,FALSE,FALSE,"A nonrecurring levy in the amount of $800,000.00 per year beginning with the 2024-2025 school year through the 2028-2029 school year for nonrecurring purposes consisting of operational and maintenance expenses; which includes staffing costs, instructional materials, deferred maintenance, and facility upkeep.","NOW, THEREFORE, BE IT RESOLVED by the School Board for the School District of Mercer as follows:

Authorization to Exceed Revenue Limits. Subject to the electorate’s approval at a referendum as further set forth herein, the Board hereby authorizes the District to increase the revenues included in District budget in excess of the state revenue limit by $800,000.00 per year beginning with the 2024-2025 school year through the 2028-2029 school year for nonrecurring purposes consisting of operational and maintenance expenses; which includes staffing costs, instructional materials, deferred maintenance, and facility upkeep.
 
Filing of Resolution.  This Resolution and the accompanying ballot question (the “Referendum Question”) shall be filed with the District Clerk and with the official or agency responsible for preparing ballots for the election forthwith, and in any event no later than 70 days before the referendum, if and to the extent required by Wis. Stats. Sections 121.91(3)(a)1. and 8.37, or other applicable law. The District Clerk is directed to file copies of this Resolution and the Referendum Question with the clerk of each county having territory within the District no later than the end of the next business day after this Resolution and the Referendum Question are filed with the District Clerk.    

Referendum Election Date.  The District Clerk is hereby directed to call a referendum to be held in the District at the spring election on April 2, 2024, for the purpose of submitting to the qualified electors of the District for approval or rejection this Resolution authorizing the District’s budget to exceed the state revenue limits for nonrecurring purposes.  The referendum shall be conducted in accordance with Chapters 5 through 12 of the Wisconsin Statutes. Further, the District Clerk shall prepare and publish all requisite notices and provide election officials with all necessary election supplies, including ballots, if and to the extent required by Wis. Stat. Section 121.91(3)(c), or other applicable law.    

DPI Notice.  Pursuant to the provisions of Wis. Stat. Section 121.91(3)(a)1., the District Clerk shall notify the Department of Public Instruction (“Department”) of the date of the referendum and shall provide the Department with a copy of this Resolution within 10 days after the adoption of this Resolution and shall further notify the Department of the results of the referendum within 10 days following the election as prescribed by the Department.",1/29/2024 14:20
5870,Issue Debt,1039,3500,Merrill Area School District,"Tuesday, April 2, 2024"," $ 16,000,000.00 ",Kelley Strike,2245,2626,Failed,FALSE,FALSE,District wide school building and facility improvement,"BE IT RESOLVED by the School Board of the Merrill Area Common Public School District, Lincoln and Langlade Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $16,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: renovations, site and playground improvements at the Jefferson School building to accommodate the relocation of certain district programming; renovations at the High School and construction of a maintenance and operations building at the High School site; demolition of the current Northern Achievement Center, storage building, district office and maintenance building; district-wide capital maintenance, infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.",1/12/24 9:28
5889,Recurring Referendum,161,3619,Milwaukee School District,"Tuesday, April 2, 2024"," $ 252,000,000.00 ",Dean Blackwell,41589,39866,Passed,FALSE,FALSE,RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT FOR RECURRING PURPOSES,"BE IT RESOLVED by the Milwaukee Board of School Directors of the Milwaukee Public Schools, Milwaukee and Washington Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $140 million for the 2024-2025 school year; by an additional $51 million for the 2025-2026 school year; by an additional $47 million for the 2026-2027 school year; and by an additional $14 million (for a total of $252 million) for the 2027-2028 school year and thereafter, for the recurring purposes of sustaining educational programming, including offering career and technical education programs, attracting and retaining certified educators, and further improving art, music, physical education and language programs.
Adopted and recorded January 11, 2024.",1/17/24 13:36
5843,Issue Debt,103,3822,Mukwonago School District,"Tuesday, April 2, 2024"," $ 102,300,000.00 ",Thomas Karthausser,4593,5406,Failed,FALSE,FALSE,Construction of a new middle school and elementary renovations for 4k classrooms,"BE IT RESOLVED by the School Board of the Mukwonago Area School District, Waukesha and Walworth Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $102,300,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of a new middle school, including site improvements; renovations and site improvements at Big Bend Elementary School; renovations at Clarendon Avenue, Prairie View, Rolling Hills and Section Elementary Schools; demolition of the existing Park View Middle School; district-wide capital maintenance, infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.",12/20/23 15:59
5882,Issue Debt,90,3962,New Richmond School District,"Tuesday, April 2, 2024"," $ 113,700,000.00 ",Kristoffer Brown,2562,1851,Passed,FALSE,FALSE,"Shall the School District of New Richmond, St. Croix County, Wisconsin be authorized to
issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to
exceed $113,700,000 for the public purpose of paying the cost of a school building and facility
improvement project consisting of: construction of additions and renovations at Starr and Paperjack
Elementary Schools and the Middle School; district-wide safety and capacity, building infrastructure
and site improvements; and acquisition of associated furnishings, fixtures and equipment?","Shall the School District of New Richmond, St. Croix County, Wisconsin be authorized to
issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to
exceed $113,700,000 for the public purpose of paying the cost of a school building and facility
improvement project consisting of: construction of additions and renovations at Starr and Paperjack
Elementary Schools and the Middle School; district-wide safety and capacity, building infrastructure
and site improvements; and acquisition of associated furnishings, fixtures and equipment?",1/24/24 12:50
5896,Non-Recurring Referendum,111,3514,North Lake School District,"Tuesday, April 2, 2024"," $ 3,400,000.00 ",Jennifer Sellhausen,576,535,Passed,FALSE,FALSE,Referendum to Exceed the Revenue Limit for Four Years for Non-Recurring Purposes,"""Shall the North Lake School District, Waukesha County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $850,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes to sustain operational costs?""",1/19/24 15:22
5920,Issue Debt,8914,616,North Lakeland School District,"Tuesday, April 2, 2024"," $ 5,700,000.00 ",Shannon Tadiello,837,329,Passed,FALSE,FALSE,"Repair aging building systems, interiors, exteriors and improve safety and security","BE IT RESOLVED by the School Board of the North Lakeland School District, Vilas
 
 and Iron Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $5,700,000 for the public purpose of paying the cost of a school facility improvement project at the school building and site consisting of: capital maintenance and building systems improvements, including HVAC and electrical system updates; safety, security and site improvements, including for a secure main entrance; remodeling and Americans with Disabilities Act updates; and acquisition of furnishings, fixtures and equipment.",2/1/24 16:35
5919,Recurring Referendum,8914,616,North Lakeland School District,"Tuesday, April 2, 2024"," $ 550,000.00 ",Shannon Tadiello,806,257,Passed,FALSE,FALSE,To maintain current programming and educational excellence,"BE IT RESOLVED by the School Board of the North Lakeland School District, Vilas
 
 and Iron Counties, Wisconsin that the revenues included in the School District budget be
 
 authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by
 
 $550,000 beginning with the 2024-2025 school year, for recurring purposes consisting of
 
 operational expenses, including to maintain current programming.",2/1/24 16:31
5888,Non-Recurring Referendum,425,1945,Northern Ozaukee School District,"Tuesday, April 2, 2024"," $ 6,800,000.00 ",Joshua McDaniel,877,984,Failed,FALSE,FALSE,"To exceed revenue limit for non-recurring purposes consisting of operational and maintenance expenses, including to maintain current educational programs, services, and facilities.","Shall the Northern Ozaukee School District, Ozaukee County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,700,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational and maintenance expenses, including to maintain current educational programs, services, and facilities?",1/17/24 9:10
5851,Issue Debt,8814,4165,Osceola School District,"Tuesday, April 2, 2024"," $ 38,115,000.00 ",Shannon Grindell,1116,1245,Failed,FALSE,FALSE, Addition to the Intermediate School,"BE IT RESOLVED by the School Board of the School District of Osceola, Polk and St. Croix Counties, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $38,115,000 for the purpose of paying the costs of constructing an addition to the Intermediate School to serve early childhood through fourth grade students and provide space for the Kids Klub; remodeling and updating the Intermediate and Middle School buildings and grounds; renovation or demolition of all or part of the Elementary School and site restoration; and equipment acquisition related to said projects.",1/4/24 0:00
5859,Non-Recurring Referendum,1030,4186,Osseo-Fairchild School District,"Tuesday, April 2, 2024"," $ 8,800,000.00 ",Lisa Skoyen,832,550,Passed,FALSE,FALSE,To Exceed Revenue Limit for Four Years for Non-Recurring Purposes,"Be it resolved by the School Board of the Osseo-Fairchild School District, Trempealeau, Jackson, Eau Claire and Clark Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,600,000 for the 2024-2025 school year, by $2,000,000 for the 2025-2026 school year, by $2,400,000 for the 2026-2027 school year and by $2,800,000 for the 2027-2028 school year, for non-recurring purposes consisting of operational, capital maintenance and facility improvement expenses",1/11/24 10:19
5921,Non-Recurring Referendum,,4207,Owen-Withee School District,"Tuesday, April 2, 2024"," $ 3,200,000.00 ",Stacy Rasmussen,333,483,Failed,FALSE,FALSE,"Exceed Revenue Cap for 4 years at $800,000 per year. ","Be it resolved b y the School Board of the School District of Owen-Withee, Clark and Taylor Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $800,000 per year beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational and maintenance expenses. 

Adopted and recorded January 15, 2024",3/15/2024 12:56
5910,Recurring Referendum,147,4151,Parkview School District,"Tuesday, April 2, 2024"," $ 2,294,125.00 ",Tracy Case,1025,1303,Failed,FALSE,FALSE,Operational Recurring,"Shall the Parkview School District, Rock County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,294,125 beginning with the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses, including for technology, educational programming, curriculum, salaries and benefits?",1/24/2024 12:58
5884,Issue Debt,729,4312,Pewaukee School District,"Tuesday, April 2, 2024"," $ 28,500,000.00 ",John Gahan,2391,2073,Passed,FALSE,FALSE,"Career & Technical Education High School additions & renovations, district wide capital maintenance","BE IT RESOLVED by the School Board of the School District of Pewaukee, Waukesha County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $28,500,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions and renovations for the career and technical education and the relocated physical education and art program areas at Pewaukee High School; district-wide capital maintenance, building systems and solar energy improvements; other capital projects identified in the district's capital improvement plan; and acquisition of furnishings, fixtures and equipment.",1/16/24 15:03
5861,Non-Recurring Referendum,78,4389,Platteville School District,"Tuesday, April 2, 2024"," $ 10,500,000.00 ",Demetri Andrews,990,1712,Failed,FALSE,FALSE,Five-year Non-recurring operational referendum to maintain educational programs and operations of the District.,"Shall the School District of Platteville, Grant, Lafayette and Iowa Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,500,000 for the 2024-2025 school year, by $1,800,000 for the 2025-2026 school year, by $2,100,000 for the 2026-2027 school year, by $2,400,000 for the 2027-2028 school year and by $2,700,000 for the 2028-2029 school year, for non-recurring purposes to maintain educational programs and operations of the District?",1/11/24 10:47
5840,Issue Debt,407,4508,Port Edwards School District,"Tuesday, April 2, 2024"," $ 7,300,000.00 ",Lisa Miller,410,292,Passed,FALSE,FALSE,"$7,300,000 Capital Referendum","BE IT RESOLVED by the School Board of the School District of Port Edwards, Wood County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $7,300,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of:  renovations, building infrastructure, capital maintenance and heating, ventilation and air conditioning (HVAC) improvements; safety and security upgrades; and acquisition of furnishings, fixtures and equipment.",12/20/23 12:57
5839,Non-Recurring Referendum,407,4508,Port Edwards School District,"Tuesday, April 2, 2024"," $ 4,250,000.00 ",Lisa Miller,450,254,Passed,FALSE,FALSE,"$850,000 Non-Recurring for 5 Years","BE IT RESOLVED by the School Board of the School District of Port Edwards, Wood County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $850,000 per year for five years beginning with the 2024-2025 school year and ending with the 2028-2029 school year, for non-recurring purposes consisting of operational and maintenance expenses.",12/20/23 12:31
5879,Recurring Referendum,8883,4529,Potosi School District,"Tuesday, April 2, 2024"," $ 700,000.00 ",Kurt Cohen,290,208,Passed,FALSE,FALSE,Exceed Revenue Limit on a Recurring Basis beginning 2024-2025,"BE IT RESOLVED by the School Board of the School District of Potosi, Grant County,
Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $400,000 for the 2024-2025 school year; by an additional $100,000 (for a total of $500,000) for the 2025-2026 school year; by an additional $100,000 (for a total of $600,000) for the 2026-2027 school year; and by an additional $100,000 (for a total of $700,000 and to remain at that amount) for the 2027-2028 school year and thereafter for recurring purposes consisting of operational expenses.",1/16/24 10:56
